Author/s,Year,Title,ID,Abstract
"Patrick Hendy, 2025.
 """,2025.,Ageing and Economic Growth in China,"rdp2025-08, Reserve Bank of Australia.","China's ageing population is expected to slow the country's economic growth in coming years. Population ageing can have a negative effect on a country's growth due to the decline in the working-age population relative to the dependent population, and could cause decreased labour productivity growth, as has been the case in other countries which have experienced similar demographic shifts. This paper seeks to estimate the causal effect of ageing on GDP per capita growth in China using data among China's provinces. I find that over 10 years a 10 per cent increase in the proportion of the population aged over 60 decreases nominal GDP per capita by around 7 per cent, all other things equal. These estimates imply that an ageing population has placed downward pressure on China's economic growth in the 2010s and 2020s so far, with this pressure likely to continue in the coming years. Authorities have so far responded to this challenge by increasing retirement ages and introducing policies such as a nationwide childcare subsidy. Different sectors in the economy are not likely to be affected uniformly by population ageing. I find that an increase in the old-age ratio increases the contribution of services (excluding real estate) to output, and decreases the contribution of construction."
"Richard Finlay & Ben Jackman & Dmitry Titkov, 2025.
 """,2025.,Back to the Futures: Liquidity in Australian Bond Futures amid Market-moving Events since COVID-19,"rdp2025-07, Reserve Bank of Australia.","The market for futures on Australian Government Securities (AGS) is one of Australia's key markets for trading interest rate risk, and turnover in AGS futures is substantially greater than turnover in AGS themselves. We examine liquidity in the market for futures on AGS using granular 'tick-level' data that captures trades and changes at the top of the order book from October 2019 to June 2025. We find liquidity deteriorated at the onset of COVID-19 and around the end of the RBA's yield target. Nevertheless, the market for AGS futures functioned well in the period, with market participants always able to transact (albeit sometimes at higher transaction costs). For 'news' events in the period â€“ such as monetary policy decisions and economic data releases, which are inherently uncertain â€“ we find liquidity tended to deteriorate briefly following these events but recovered before day's end. By contrast, for 'flow' events â€“ such as pre-announced purchases and sales of AGS, including syndicated issuance â€“ we find liquidity improved in anticipation of these events and smooth trading conditions were maintained. A better understanding of how liquidity in AGS futures changes in response to market-moving events should assist AGS market participants â€“ including the RBA â€“ to extract and interpret information from market data, and to design any AGS market transactions to maximise effectiveness while minimising side effects."
"Nicholas Gray & Finn Lattimore & Kate McLoughlin & Callan Windsor, 2025.
 """,2025.,An AI-powered Tool for Central Bank Business Liaisons: Quantitative Indicators and On-demand Insights from Firms,"rdp2025-06, Reserve Bank of Australia.","In a world of high policy uncertainty, central banks are relying more on soft information sources to complement traditional economic statistics and model-based forecasts. One valuable source of soft information comes from intelligence gathered through central bank liaison programs â€“ structured programs in which central bank staff regularly talk with firms to gather insights. This paper introduces a new text analytics and retrieval tool that efficiently processes, organises, and analyses liaison intelligence gathered from firms using modern natural language processing techniques. The textual dataset spans around 25 years, integrates new information as soon as it becomes available, and covers a wide range of business sizes and industries. The tool uses both traditional text analysis techniques and powerful language models to provide analysts and researchers with three key capabilities: (1) quickly querying the entire history of business liaison meeting notes; (2) zooming in on particular topics to examine their frequency (topic exposure) and analysing the associated tone and uncertainty of the discussion; and (3) extracting precise numerical values from the text, such as firms' reported figures for wages and prices growth. We demonstrate how these capabilities are useful for assessing economic conditions by generating text-based indicators of wages growth and incorporating them into a nowcasting model. We find that adding these text-based features to current best-in-class predictive models, combined with the use of machine learning methods designed to handle many predictors, significantly improves the performance of nowcasts for wages growth. Predictive gains are driven by a small number of features, indicating a sparse signal in contrast to other predictive problems in macroeconomics, where the signal is typically dense."
"Jonathan Hambur & Owen Freestone, 2025.
 """,2025.,How Costly are Mark-ups in Australia? The Effect of Declining Competition on Misallocation and Productivity,"rdp2025-05, Reserve Bank of Australia.","There is substantial evidence that the degree of competition in the Australian economy has declined over the decade or so leading up to the COVID-19 pandemic. This has the potential to weigh on productivity, and in turn incomes, and so the welfare of the Australian people. In this paper we calibrate the general equilibrium model from Edmond, Midrigan and Xu (2023) to Australian microdata to answer the following question: If the degree of competition in the Australian economy had not declined from mid-2000s levels, how much higher would aggregate productivity and GDP be due to resources being better allocated across firms throughout the economy? The answer, according to this model, is 1â€“3 per cent. The model also suggests even larger economic costs once we account for other channels through which rising mark-ups affect the economy, though these are less precisely estimated."
"Karsten Chipeniuk & Gulnara Nolan & Matt Nolan, 2025.
 """,2025.,HANK and the Transmission of Shocks to Demand and Supply,"rdp2025-04, Reserve Bank of Australia.","In this paper we study the propagation of demand and supply shocks in a heterogeneous agent New Keynesian model. Calibrating the model to Australia, we explore how inequality in the model affects shock transmission, as well as how shocks impact individuals differently across the distribution. Contrary to much of the literature, with a single asset in the model we find a dampening in the response of the real economy to a monetary policy shock, driven by falling consumption in the extremes of the distribution. This dampening is likely due to the high holdings of liquid assets by many households in the model, which allows these households to effectively smooth their consumption, emphasising the need to include further asset classes. In the case of supply shocks, we likewise find a dampened response of the real economy to both a labour disutility shock and a mark-up shock. These results highlight the need to explore models with more realistic asset classes in the Australian context."
"Matthew Read & Dan Zhu, 2025.
 """,2025.,Fast Posterior Sampling in Tightly Identified SVARs Using 'Soft' Sign Restrictions,"rdp2025-03, Reserve Bank of Australia.","We propose algorithms for conducting Bayesian inference in structural vector autoregressions identified using sign restrictions. The key feature of our approach is a sampling step based on 'soft' sign restrictions. This step draws from a target density that smoothly penalises parameter values violating the restrictions, facilitating the use of computationally efficient Markov chain Monte Carlo sampling algorithms. An importance-sampling step yields draws from the desired distribution conditional on the 'hard' sign restrictions. Relative to standard accept-reject sampling, the method substantially improves computational efficiency when identification is 'tight'. It can also greatly reduce the computational burden of implementing prior-robust Bayesian methods. We illustrate the broad applicability of the approach in a model of the global oil market identified using a rich set of sign, elasticity and narrative restrictions."
"Anthony Brassil & Christopher G Gibbs & Callum Ryan, 2025.
 """,2025.,Boundedly Rational Expectations and the Optimality of Flexible Average Inflation Targeting,"rdp2025-02, Reserve Bank of Australia.","Expectations play a central role in the transmission of monetary policy, but how people form expectations is widely debated. We revisit optimal monetary policy design in a model with behavioural expectations that nest rational and adaptive learning beliefs as special cases, and approximates several alternative expectations theories, such as myopic or level- k expectations. Optimal policy is a weighted average inflation target plus adjustments for belief persistence and constraints faced by the central bank (information frictions and the zero lower bound). Optimal policy is well-approximated in all cases by flexible average inflation targeting, where we make explicit what average and flexible mean."
"Nu Nu Win & Jonathan Hambur & Robert Breunig, 2025.
 """,2025.,Are Investment Tax Breaks Effective? Australian Evidence,"rdp2025-01, Reserve Bank of Australia.","Using Australian tax and survey data, we exploit discrete eligibility cut-offs to estimate the effect of several business investment tax breaks, including tax credits and instant asset write-offs, implemented over the past 15 years. Policies implemented during the global financial crisis increased investment. Responses are larger for unincorporated businesses, possibly reflecting reduced efficacy of investment stimulus under Australia's dividend imputation system. However, we find mostly no evidence of an effect for other investment policies, including those implemented to address the COVID-19 pandemic."
"Patrick Hendy & Benjamin Beckers, 2024.
 """,2024.,How Do Global Shocks Affect Australia?,"rdp2024-10, Reserve Bank of Australia.","Foreign or global economic and financial shocks can be significant drivers of economic outcomes in small open economies such as Australia, and are therefore a considerable source of uncertainty to the Australian economic outlook. Examining the extent to which global shocks affect the Australian financial system and economy and the channels through which these shocks operated over the 1990â€“2019 period, we find that global shocks drive considerable variation in the exchange rate and the cash rate, but a smaller proportion of variation in economic variables like real GDP. This suggests that, over our sample, the exchange rate and domestic monetary policy have effectively buffered the Australian economy from global shocks. Unlike some other recent literature on global spillovers, we do not find the Australian banking system to be a substantial channel of financial and economic spillovers to Australia."
"CÃ©sar Barreto & Jonas Fluchtmann & Alexander Hijzen & Stefano Lombardi & Patrick Bennett & Antoine Bertheau & Winnie Chan & Andrei Gorshkov & Jonathan Hambur & Nick Johnstone & Benjamin Lochner & Jor, 2024.
 """,2024.,The 'Clean Energy Transition' and the Cost of Job Displacement in Energy-intensive Industries,"rdp2024-09, Reserve Bank of Australia.","This paper provides a comprehensive analysis of the costs of job displacement in energy-intensive industries in selected OECD countries. Based on harmonised linked employer-employee data from 14 OECD countries, we estimate the effect of job displacement in three energy-intensive industries, namely energy supply, heavy manufacturing and transport, compared to other industries. We find that workers displaced from energy supply and heavy manufacturing, experience larger earnings losses compared with workers in non-energy-intensive and transport sectors. Larger earnings losses mainly result from weaker re-employment outcomes in terms of wages and job instability but also challenges with finding another job. They reflect significant differences in the composition of workers and firms in energy supply and heavy manufacturing and the rest of the economy. Displaced workers in these sectors tend to be older, are less skilled and more likely to be previously employed in high-wage firms."
"Laurence Bristow, 2024.
 """,2024.,Modelling Reserve Demand with Deposits and the Cost of Collateral,"rdp2024-08, Reserve Bank of Australia.","The RBA controls short-term interest rates by offering to lend as many reserves as banks demand at a rate close to its target for monetary policy. At this rate, banks' demand drives the amount of reserves the RBA supplies and subsequently the size of its balance sheet. I estimate a substantial increase in Australian banks' reserve demand since the COVID-19 pandemic. I find an increase in banking system deposits explains a large part of the increase in reserve demand through an associated shift to the right in Australian banks' reserve demand curve. The link between deposits and reserve demand suggests banks are willing to pay for the convenience of holding additional reserves to manage payments between depositors, or that banks hold reserves against deposits as a precaution in case of liquidity stress. The value of collateral also shifts banks' reserve demand curve as it changes the price at which banks can fund reserves through the repo market. The role of collateral in explaining the increase in banks' reserve demand is likely small as its value is little changed since the pandemic."
"Anthony Brassil & Yahdullah Haidari & Jonathan Hambur & Gulnara Nolan & Callum Ryan, 2024.
 """,2024.,How Do Households Form Inflation and Wage Expectations?,"rdp2024-07, Reserve Bank of Australia.","This paper explores the formation of households' wage and inflation expectations using a common dataset and framework, documenting a number of stylised facts. We find that households tend to form wage and inflation expectations somewhat differently. Households associate higher wages growth with good economic outcomes, but higher inflation with worse economic outcomes. Wages expectations also tend to be somewhat more forward looking, while inflation expectations are more backward looking, especially for lower income households, and place a disproportionate weight on past fuel prices. These findings paint a picture of households having a somewhat 'supply-side' view of inflation, where shocks that push up inflation also weaken the economy, but a more 'demand-side' view of wages, where shocks that push up wages also strengthen the economy, which may make communication of monetary policy and the outlook more challenging."
"Joel Bowman & Jonathan Hambur & Nathan Markovski, 2024.
 """,2024.,Examining the Macroeconomic Costs of Occupational Entry Regulations,"rdp2024-06, Reserve Bank of Australia.","Occupational entry regulations (OER) are legal requirements that people need to meet to enter certain professions. They are intended to protect consumers by ensuring providers are of sufficient quality â€“ but they can also create costs by making it harder for new workers to enter a profession or for new firms to open and grow. In this paper we construct a database of OER stringency across three states and a number of occupations to better understand these potential costs. We find that for services provided to consumers (businesses), OER tend to be more (less) stringent in Australia compared with the average OECD country. In most occupations OER are more stringent in Australia compared to the least stringent OECD country. We find that more stringent OER are associated with lower business entry and exit rates, and a slower flow of workers from less to more productive firms, both of which may have negative implications for productivity. We also find some tentative evidence that OER tend to be associated with skill shortages. These results do not necessarily suggest that OER should be less stringent. But they fill a gap in our understanding of the effects of OER, which can help policymakers going forward."
"Matthew Read, 2024.
 """,2024.,Sign Restrictions and Supply-demand Decompositions of Inflation,"rdp2024-05, Reserve Bank of Australia.","Policymakers are often interested in the degree to which changes in prices are driven by shocks to supply or demand. One way to estimate the contributions of these shocks is with a structural vector autoregression identified using sign restrictions on the slopes of demand and supply curves. The appeal of this approach is that it relies on uncontroversial assumptions. However, sign restrictions only identify decompositions up to a set. I characterise the conditions under which these sets are informative, examining both historical decompositions (contributions to outcomes) and forecast error variance decompositions (contributions to variances). I use this framework to estimate the contributions of supply and demand shocks to inflation in the United States. While the sign restrictions yield sharp conclusions about the drivers of inflation in some expenditure categories, they tend to yield uninformative decompositions of aggregate inflation. A 'bottom-up' decomposition of aggregate inflation is less informative than a decomposition that uses the aggregate data directly."
"Luke Hartigan & Tom Rosewall, 2024.
 """,2024.,Nowcasting Quarterly GDP Growth during the COVID-19 Crisis Using a Monthly Activity Indicator,"rdp2024-04, Reserve Bank of Australia.","What is happening now? The onset of the COVID-19 crisis highlighted the importance of having timely data on the economy to help policymakers make more informed decisions. However, the most comprehensive measure of activity, GDP, is published with a long lag, thereby limiting its value to policymakers as a measure of the current state of the economy. To overcome this information deficiency, we develop a monthly activity indicator (MAI) for Australia. The MAI aims to provide policymakers with a more immediate snapshot of prevailing economic conditions. We achieve this by using a dynamic factor model to summarise the information content from a curated list of 30 monthly predictors selected for their ability to explain movements in quarterly real GDP growth. We undertake a pseudo out-of-sample nowcasting exercise using the MAI in an unrestricted MIDAS model and find that nowcasts based on the MAI significantly outperform standard benchmarks. Crucially, outperformance is largest during the COVID-19 crisis, emphasising the benefit from considering monthly data. Our results demonstrate that the MAI is a useful tool for policymakers to gain a better understanding of current economic conditions in Australia."
