Author/s,Year,Title,ID,Abstract
"Ulrich Roschitsch & Hannes Twieling, 2025.
 """,2025.,"United in Booms, Divided in Busts: Regional House Price Cycles and Monetary Policy","25-36, Bank of Canada.","This paper shows that regional disparities in house price growth are more pronounced during house price busts than during booms. To explain this observation we construct a two-region currency union model incorporating a housing sector and extrapolative belief updating regarding house prices. To solve the model, we propose a new method that efficiently handles extrapolative belief updating in a wide class of structural models. We show that intensified extrapolation in busts and regional housing market heterogeneities jointly explain elevated regional house price growth dispersion in busts and muted dispersion in booms. Consistent with our theory, we provide empirical evidence that house price belief updating is indeed more pronounced in busts and we document that regional heterogeneities on the housing supply side affect regional house prices. Quantitatively, our model can match empirically observed elevated regional house price growth dispersion in busts. Moreover, we demonstrate that a monetary authority targeting house prices may reduce the volatility of output and prices as well as regional house price growth disparities. This policy is welfare-improving relative to an inflation-targeting benchmark."
"Iñaki Aldasoro & Ajit Desai, 2025.
 """,2025.,Money Talks: AI Agents for Cash Management in Payment Systems,"25-35, Bank of Canada.","Using prompt-based experiments with ChatGPT’s reasoning model, we evaluate whether a generative artificial intelligence (AI) agent can perform high-level intraday liquidity management in a wholesale payment system. We simulate payment scenarios with liquidity shocks and competing priorities to test the agent’s ability to maintain precautionary liquidity buffers, dynamically prioritize payments under tight constraints, and optimize the trade-off between settlement speed and liquidity usage. Our results show that even without domain-specific training, the AI agent closely replicates key prudential cash-management practices, issuing calibrated recommendations that preserve liquidity while minimizing delays. These findings suggest that routine cash-management tasks could be automated using general-purpose large language models, potentially reducing operational costs and improving intraday liquidity efficiency. We conclude with a discussion of the regulatory and policy safeguards that central banks and supervisors may need to consider in an era of AI-driven payment operations."
"Ragnar Juelsrud & Plamen Nenov & Fabienne Schneider & Olav Syrstad, 2025.
 """,2025.,"Money Talks: Transaction Costs, the Value of Convenience, and the Cross-Section of Safe Asset Returns","25-34, Bank of Canada.","In this paper we study the cross-section of equilibrium returns on safe assets using a tractable asset pricing model with a micro-founded demand for liquidity and multiple safe assets with heterogeneous transaction costs. A key feature of our model is the “value of convenience,” which is an equilibrium object that measures the level of liquidity risk-sharing in the economy. Changes in asset supply or the transaction cost of a single safe asset affect aggregate liquidity and the returns of all assets. The model features a pecuniary externality, which investors fail to internalize when forming their portfolios and which impacts equilibrium welfare. Therefore, policies that increase the payoff on the most liquid asset improve welfare in the competitive equilibrium. We test the main predictions of our theory using a novel measure of relative (in)convenience yields in the US Treasury market."
"Rodrigo Sekkel & Henry Stern & Xu Zhang, 2025.
 """,2025.,Money Talks: How Foreign and Domestic Monetary Policy Communications Move Financial Markets,"25-33, Bank of Canada.","We provide novel insights into how foreign and domestic monetary policy communications, beyond rate announcements, affect the financial markets of open economies. We construct a high-frequency dataset that documents the impact of Federal Reserve (Fed) and Bank of Canada (BoC) rate announcements, speeches, press conferences and minutes releases to Canadian financial markets between 1997 and 2023. We find that non-rate announcements are a significant source of domestic monetary policy surprises and international spillovers. Across event types, Fed communications are particularly influential for long-term interest rates and stock futures while BoC communications matter more to short-term interest rates. Since BoC communications have little effect on U.S. interest rates, Canadian announcements have a greater impact on the CAD/USD exchange rate by inducing larger changes in the cross-country interest rate differential."
"Javier Ojea Ferreiro, 2025.
 """,2025.,A Market-Based Approach to Reverse Stress Testing the Financial System,"25-32, Bank of Canada.","This article investigates market scenarios that lead to extreme losses in international financial markets. We propose two systemic measures: (1) identifying the foreign event among those with equal probability leading to the worst outcome for the domestic financial system; and (2) classifying tail returns of financial institutions into four groups based on whether losses occur alongside domestic institutions only, foreign institutions only, both, or neither. Using 20 years of weekly equity returns from over 150 institutions across four developed financial systems, results highlight the central role of US and European institutions, with growing importance for Canada and non-bank financial intermediaries."
"Chenyu Hou & Tao Wang, 2025.
 """,2025.,Uncovering Subjective Models from Survey Expectations,"25-31, Bank of Canada.","Households may perceive that macroeconomic variables move together in a different way from that implied by their actual realizations and sophisticated models. We use a structural test derived from a multivariate noisy-information framework and additional evidence from survey data and newspaper narratives to show that information friction alone cannot explain households’ tendency to associate higher future inflation with a worse labor market outlook. We also show that the subjective model empirically uncovered from survey data implies amplified output responses to supply shocks, but dampened output and price responses to demand shocks."
"Stephen Murchison, 2025.
 """,2025.,Non-homothetic Preferences and the Demand Channel of Inflation,"25-30, Bank of Canada.","The post-pandemic rise in global inflation has renewed interest in the relative roles played by demand and supply factors in determining prices. Many central banks have stressed the joint role that persistent increases in input costs and excess demand played in boosting inflation in 2021 and 2022. Yet the latter influence plays no independent role in the workhorse New Keynesian models used by many central banks. Under the typical assumption of constant elasticity of substitution (CES) preferences, variations in consumption shift the firm’s profit function up and down, but do not influence its curvature. As a result, the optimal markup is not a function of demand. This assumption is contradicted by both evidence about household shopping behaviour and survey evidence about how firms set prices. This paper proposes an alternative structure based on non-homothetic household preferences over varieties of consumption goods. Specifically, the elasticity of substitution between goods is state dependent, declining during periods of strong per-capita consumption and vice versa. This captures the stylized fact that individual consumers are less price sensitive during economic booms and more price sensitive during downturns. These substitution effects in turn give the firm an incentive to adjust its markup in response to consumption demand. In aggregate, this generates desired markups that increase nonlinearly in consumption demand. When strategic complementarities in pricing are present, these preferences also give rise to state-dependent pass-through of cost shocks. A New Keynesian sticky price model featuring non-homothetic preferences is estimated on Canadian data, and strong evidence favouring a direct role for per-capita consumption demand is presented. This model is better able to capture the increase in core inflation that occurred in 2021–22, particularly when simulated in its nonlinear form."
"Ingomar Krohn & Andreas Uthemann & Rishi Vala & Jun Yang, 2025.
 """,2025.,Demand-Driven Risk Premia in Foreign Exchange and Bond Markets,"25-29, Bank of Canada.","We establish an empirical framework that causally identifies how Treasury demand shocks transmit across foreign exchange and global bond markets, providing direct validation of quantity-driven theories of international risk premia. Our identification exploits predetermined auction supply to isolate demand shocks from high-frequency movements in Treasury futures prices around Treasury auctions. A one-standard-deviation increase in Treasury demand causes the U.S. dollar to depreciate by 2 basis points against G9 currencies while generating 10-basis-point increases in foreign bond prices. Effects persist for two weeks, indicating meaningful economic impacts. The transmission mechanism varies systematically across countries: those with lower U.S. short-rate correlations exhibit stronger currency responses but weaker bond effects, while higher-correlation countries show the opposite pattern. This cross-sectional variation provides empirical support for models of segmented markets where global arbitrageurs link exchange rates and bond risk premia."
"Kevin Moran & Dalibor Stevanovic & Stéphane Surprenant, 2025.
 """,2025.,Risk Scenarios and Macroeconomic Forecasts,"25-28, Bank of Canada.","This paper discusses the usefulness of risk scenarios—forecasts conditional on specific future paths for economic variables and shocks—for monitoring the Canadian economy. To do so, we use a vector autoregressive (VAR) approach to produce macroeconomic forecasts conditional on four risk scenarios: high oil prices, a US recession, a tight labor market, and a restrictive monetary policy. The results show that these scenarios represent significant risk factors for the evolution of the Canadian economy. In particular, the high-oil-price scenario is beneficial for the Canadian economy, while a US recession induces a significant slowdown. The very tight labor market scenario leads to additional price increases relative to an unconditional forecast, and the restrictive monetary policy scenario increases the unemployment rate while lowering the inflation rate slightly."
"Francesco Amodeo & Edoardo Briganti, 2025.
 """,2025.,High-Frequency Cross-Sectional Identification of Military News Shocks,"25-27, Bank of Canada.","This study develops a two-step procedure to identify and quantify fiscal news shocks. First, we augment a narrative identification strategy using large language model searches to compile events (2001–2023) that altered the expected path of U.S. defense expenditure. Second, for each event, we estimate market-implied shifts in expected defense spending with cross-sectional regressions of contractors’ stock returns on their reliance on military revenues. We show that this approach statistically validates each event; quantifies each shock in an intuitive, model-consistent fashion; and readily generalizes to other macroeconomic contexts. Employing the estimated shocks in a shift-share analysis yields a two-year, metropolitan statistical area–level GDP multiplier of approximately 1 for U.S. military build-ups."
"Chao Gu & Janet Hua Jiang & Liang Wang, 2025.
 """,2025.,"Credit Conditions, Inflation, and Unemployment","25-26, Bank of Canada.","We construct a New Monetarist model with labor market search and identify two channels that affect the long-term relationship between inflation and unemployment. First, inflation lowers wages through bargaining because unemployed workers rely more heavily on cash transactions and suffer more from inflation than employed workers: this wage-bargaining channel generates a downward Phillips curve without assuming nominal rigidity. Second, inflation increases the firm’s financing costs, which discourages job creation and increases unemployment; this cash-financing channel leads to an upward-sloping Phillips curve. We calibrate our model to the U.S. economy. The improvement in firm financing conditions can explain the observation that the slope of the long-run Phillips curve has switched from positive to negative post-2000."
"Francois-Michel Boire & Thibaut Duprey & Alexander Ueberfeldt, 2025.
 """,2025.,Financial Shocks and the Output Growth Distribution,"25-25, Bank of Canada.","This paper studies how financial shocks shape the distribution of output growth by introducing a quantile-augmented vector autoregression (QAVAR), which integrates quantile regressions into a structural VAR framework. The QAVAR preserves standard shock identification while delivering flexible, nonparametric forecasts of conditional moments and tail risk measures for gross domestic product (GDP). Applying the model to financial conditions and credit spread shocks, we find that adverse financial shocks worsen the downside risk to GDP growth significantly, while the median and upper percentiles respond more moderately. This underscores the importance of nonlinearities and heterogeneous tail dynamics in assessing macro-financial risks."
"Jean-Paul L'Huillier & Kirill Shakhnov & Laure Simon, 2025.
 """,2025.,Short-Run and Long-Run News: Evidence from Giant Commodity Discoveries,"25-24, Bank of Canada.","The bulk of the news shocks literature focuses on shocks materializing after four or five quarters, with limited evidence on news about longer-run events. We build a new dataset of discovery and production start dates for a wide range of giant commodity discoveries worldwide from 1960 to 2012. Standard open economy models match the empirical responses of short-run news but fail in the case of long-run news. Incorporating financial frictions in the form of collateral constraints is crucial for capturing the dynamics implied by long-run news. We also provide direct evidence on the role of these frictions."
"William Du & Adrian Monninger & Xincheng Qiu & Tao Wang, 2025.
 """,2025.,Perceived Unemployment Risks over Business Cycles,"25-23, Bank of Canada.","We backcast subjective expectations on job finding and separation in the Survey of Consumer Expectations to 1978, and use real-time machine learning forecasting to proxy their objective counterparts. We document stickiness in job finding and separation expectations in reflecting changes in real-time job finding and separation risks and their substantial heterogeneity across observable and unobservable dimensions. Calibrating these facts into a heterogeneous-agent consumption-saving model reveals that belief stickiness attenuates the precautionary saving channel. As a result, workers under-insure during recessions, leading to a more sluggish recovery afterwards. The combination of high risk exposure and under-insurance due to belief stickiness operates as a novel amplification mechanism over the business cycle."
"Kim Huynh & Oleksandr Shcherbakov & André Stenzel, 2025.
 """,2025.,Dynamic Consumer Cash Inventory Model,"25-22, Bank of Canada.","We study consumer cash inventory behavior by developing a dynamic model of forward-looking consumers and estimating structural parameters of the model using detailed consumer survey data. Consumers facing holding and withdrawal costs solve a discrete-time continuous-control dynamic programming problem to optimally use cash at the point of sale. Our findings suggest that it is crucial to account for persistent heterogeneity in consumer preferences to accurately measure the demand for cash and consumer welfare. We show that deteriorating access to cash triggers a bi-modal response. Some consumers substantially reduce or even stop the use of cash in favor of digital means of payment, while others exhibit a limited response and instead withdraw and hold larger amounts."
"Lilia Maliar & Christopher Naubert, 2025.
 """,2025.,Monetary Policy Transmission with Endogenous Central Bank Responses in TANK,"25-21, Bank of Canada.",We study how the transmission of monetary policy innovations is affected by the endogenous response of the central bank to macroeconomic aggregates in a two-agent New Keynesian model. We focus on how the stance of monetary policy and the fraction of savers in the economy affect transmission. We show that the indirect effect of an innovation is negative when the indirect real rate effect exceeds the indirect income effect. The relative magnitude of the indirect real rate effect increases with the share of savers and the strength of the central bank’s response and decreases with the horizon of the innovation.
"Xing Guo & Pablo Ottonello & Thomas Winberry & Toni Whited, 2025.
 """,2025.,Firm Heterogeneity and Adverse Selection in External Finance: Micro Evidence and Macro Implications,"25-20, Bank of Canada.","We study the macroeconomic consequences of asymmetric information between firms and external investors. To do so, we develop a heterogeneous firm macro model in which firms have private information about their quality. Private information creates a lemons problem in the market for external finance, depressing investment relative to the full information benchmark. We measure the distribution of private information, and therefore the magnitude of this lemons problem, using high-frequency stock price changes when firms raise new funding (revealing their quality to the market). We find that changes in distribution of private information are a quantitatively important determinant of aggregate fluctuations. For example, a spike in private information accounts for 40% of the decline in aggregate investment during the 2007-2009 financial crisis and made monetary stimulus significantly less effective at that time."
