Author/s,Year,Title,ID,Abstract
"Federico Huneeus & Yasutaka Koike-Mori & Antonio Martner, 2025.
 """,2025.,The Anatomy of Aggregate Productivity,"1050, Central Bank of Chile.","We present an aggregation result that structurally dissects the drivers of aggregate productivity, i.e., technology and the reallocation of resources, across arbitrary parts of the economy using sufficient statistics that can be measured with standard datasets. Besides the typical statistics of factor shares and distortion changes, consumption share changes emerge as a new sufficient statistics that capture an income redistribution channel between households. This channel reflects how changes in households’ income propagate upstream, influencing the allocation of resources across firms. We apply our results to revisit Chile’s aggregate productivity stagnation since 2010, leveraging two decades of administrative firm-to-firm data. This stagnation is almost entirely driven by the reallocation of resources. Exports of mining, domestic output of manufacturing and retail, and incumbent large firms shape the bulk of this stagnation."
"Luca Lorenzini & Antonio Martner, 2025.
 """,2025.,The Aggregate Welfare Effects of Nonlinear Prices in Supply Chains,"1049, Central Bank of Chile.","We study how nonlinear pricing in supply chains shapes output, firm entry, and aggregate welfare. We develop a general equilibrium model in which firms both charge and pay nonlinear prices along the supply chain. Relative to linear pricing, nonlinear prices increase firm-level output but reduce firm entry by distorting the distribution of profits, yielding ambiguous welfare effects. Using transaction-level data from Chilean firms, we document robust evidence consistent with widespread nonlinear pricing across buyer groups. Calibrating the model to the data, we find that nonlinear pricing raises production but deters entry. In equilibrium, output gains dominate: aggregate welfare losses from market power are approximately 18% lower under nonlinear prices than under linear pricing, indicating that analyses based on linear pricing overstate the welfare costs of market power."
"Camilo Levenier, 2025.
 """,2025.,The effect of automation on the labor market: An approach using firm-level microdata,"1048, Central Bank of Chile.","This study analyzes the relationship between machines and employment across different workers' income quintiles, utilizing firm-level and worker-level microdata for Chile from 2009 to 2023, considering a total of 80,000 firms and 2,900,000 workers. To investigate this dynamic, a panel regression is used, modeling employment as a function of machines and a set of other covariates. Additionally, a generalized propensity score is used to address the endogeneity problem. The results indicate that the relationship between machines and employment is predominantly negative, especially for workers in the middle-income quintiles and for certain economic sectors such as business services, transport, and information & communication. Furthermore, the results suggest that the relationship between machines and employment in high-income quintiles has been positive, supporting the idea that technological development requires highly qualified workers. Overall, the results suggest that automation has had heterogeneous effects on employment in the Chilean labor market, and these effects are smaller than those suggested by the literature."
"Pablo Acevedo & Elías Albagli & Gonzalo García-Trujillo & María Antonia Yung, 2025.
 """,2025.,Firm-level CO2 Emissions and Production Networks: Evidence from Administrative Data in Chile,"1047, Central Bank of Chile.","This project uses unique Chilean administrative data to shed light on how production networks might play a key role in shaping the macroeconomic impacts of green transition policies. First, using customs and firm-to-firm transaction data that covers the universe of firms in Chile, we build the fossil fuel consumption and the direct CO2 emissions at the firm, sectoral, and aggregate levels. In line with the official national sources, the electricity generation sector is the most important contributor to aggregate CO2 emissions, followed by the manufacturing, transport, and mining sectors. Then, we study the role of input-output linkages in propagating CO2 emissions to the rest of the economy. To do so, we construct the production network and the carbon footprint at the firm level using firm-to-firm transaction data from the Chilean IRS, and we validate our results with the input-output tables approach used in the literature. The results show that the electricity generation sector is central in the network, with potentially important downstream spillover effects, while the mining sector is located in the outer part of the network with rich upstream connections. Also, we show that the copper mining industry is the most exposed one to a carbon tax scheme implemented on all the firms in the economy and also to one that only targets the electricity generation sector."
"Maximiliano San Millán, 2025.
 """,2025.,The Cross Border Effects of Bank Capital Regulation in General Equilibrium,"1046, Central Bank of Chile.","We examine the cross-border effects of bank capital requirements using a two-country DSGE model with financial frictions, calibrated to match Euro Area banking flows. Regulation follows a host country principle, applying uniformly to all bank exposures within a country, regardless of the banks' nationality. We find that increasing capital requirements in one country leads to a short run credit contraction in interconnected countries. However, long run credit spillovers are negligible. Instead, we find positive long run welfare spillovers, primarily due to higher bank dividend payouts to foreign bank owners, rather than increased financial stability in the foreign country."
"Carlos Madeira, 2025.
 """,2025.,The impact of financial crises on industrial growth in the Middle East and North Africa,"1045, Central Bank of Chile.","Using country-industry panel data between 1980 until 2019, I estimate the causal effects of financial crises, with total impact given by the sum of a direct effect on all industries and an external finance dependence channel. Currency crises have the worst impact of all types of crises across all countries. Financial crises of all types are substantially worse for the Middle East and North Africa (MENA) economies. For MENA, there is a manufacturing growth reduction of 2.8%, 6% and 1.2% during banking, currency and sovereign debt crises. There is substantial heterogeneity across the MENA, with Morocco, Iraq and Israel experiencing a much stronger impact from all types of financial crises."
"Carlos Madeira, 2025.
 """,2025.,The impact of financial crises on industrial growth: lessons from the last 40 years,"1044, Central Bank of Chile.","This work shows the impact of financial crises across industries and the total manufacturing sector. I find both a direct impact of financial crises on all manufacturing growth and an additional effect through an external finance dependence channel. Externally dependent industries experience lower growth during banking and currency crises, especially in emerging markets and developing economies. Banking, currency and sovereign debt crises cause an average reduction in total manufacturing growth of 2.7%, 6% and 1%, respectively, with the direct effect being the most significant component. Finally, I show that macroprudential policies adopted after the Great Financial Crisis attenuated the fall in growth caused by banking crises."
"Miguel Acosta-Henao & Maria Alejandra Amado & Montserrat Martí & David Perez-Reyna, 2025.
 """,2025.,Heterogeneous UIPDs Across Firms: Spillovers from U.S. Monetary Policy Shocks,"1043, Central Bank of Chile.","This paper investigates the granular transmission of U.S. monetary policy shocks to deviations from the uncovered interest rate parity (UIPDs) in emerging economies. Using a comprehensive dataset from Chile that accounts for firm-bank relationships and the time-variant characteristics of both firms and banks, we uncover several key findings: (1) Shocks to the federal funds rate (FFR) increase banks’ costs of foreign borrowing. (2) These higher credit costs disproportionately affect small firms, raising their UIPDs more than for large firms. (3) This size-differentiated impact stems from the relatively higher interest rates on domestic currency loans faced by small firms. (4) In contrast, interest rates on dollar-denominated loans respond homogeneously across all firms. (5) We find no differential effect on loan quantities, suggesting an active role of credit supply and demand. We rationalize these findings with a small open economy model of corporate default that incorporates heterogeneous firms borrowing from domestic banks in both foreign and domestic currencies. In our model, a higher FFR reduces the marginal cost of defaulting on domestic-currency debt for small firms more than for large firms."
"Olivia Bordeu & Gustavo González & Marcos Sorá, 2025.
 """,2025.,Bank Competition and Investment Costs across Space,"1042, Central Bank of Chile.","Using detailed loan-level data from Chile, we document significant geographic differences in interest rates for firm loans. Firms in cities with high borrowing costs pay around 280 basis points more than firms in low-cost cities. While these estimates account for differences in firm and loan characteristics across cities, we find evidence that they are related to the level of concentration in the local loan market. We examine the pass-through of monetary policy to lending rates and find that banks with higher local market shares exhibit stronger pass-through, aligning with oligopolistic models of branch competition."
"Rodrigo Alfaro & Catalina Estefó, 2025.
 """,2025.,Tail-Risk Indicators with Time-Variant Volatility Models: the case of the Chilean Peso,"1041, Central Bank of Chile.","In this paper we propose a framework for building tail-risk indicators for the Chilean Peso (CLP) based on time-variant volatility models [e.g., Engle (1982), Taylor (1982), Nelson (1991), Heston and Nandi (2000)], which we estimate by combining: (i) daily returns, (ii) option-implied volatility (IV), and (iii) intraday realized volatility (RV). Our empirical results show that the in-sample fit of the models improves when volatility measures (IV or RV) are added. We provide an application of the framework to evaluate extreme scenarios."
