Author/s,Year,Title,ID,Abstract
"Hyejin Kim, 2020.
 """,2020.,Wage and Employment Effects of Immigration: Evidence from Korea,"2020-30, Economic Research Institute, Bank of Korea.","This paper studies the impact of immigration on native labor market outcomes in Korea. We exploit the variation in immigration flows in an education-experience cell and find that, on average, immigration has no harmful effect on the wages or employment of native workers. However, there is great heterogeneity in the wage effects across education groups: high school dropouts suffer from the adverse effects, whereas the effects for college graduates are positive. We find the potential explanation for these differential effects in the suggestive evidence on the degree of substitution. Specifically, we examine the similarity of occupational distribution between natives and immigrants. While the least-educated natives and immigrants have almost identical occupation distributions, highly educated natives are likely to work in different occupational segments from the corresponding immigrants."
"Kwangyong Park, 2020.
 """,2020.,The Excess Sensitivity of Long-term Interest rates and Central Bank Credibility,"2020-29, Economic Research Institute, Bank of Korea.","Long-term interest rates show considerable reactions to macroeconomic and monetary policy news. It is, however, difficult to be explained by standard rational expectations macro-finance models widely used in policy analyses. In this research, we demonstrate that private¡¯s subjective beliefs and central bank credibility can account for the excess sensitivity of long-term interest rates using an estimated macro-finance model which incorporates private¡¯s subjective perceptions on future real activity and inflation and endogenously evolving central bank credibility. We find that long-term rates respond stronger to macro shocks and shifts in private's perceptions regarding expected real activity and inflation when credibility is lower. In addition, the model simulation shows that 10-year yield varies substantially more when credibility is low."
"Dongjae Jung, 2020.
 """,2020.,Consumption Dynamics and a Home Purchase,"2020-27, Economic Research Institute, Bank of Korea.","This paper investigates the effects of a home purchase, which is one type of durable expenditure, on changes in non-durable consumption at the household level. The results suggest that there is a break on the consumption path at the time of a home purchase; non-durable consumption in the after-period of a home purchase is 5.2% higher than the before-period. The results propose an extra path that connects the two cycles of housing markets and consumption by suggesting that home purchases trigger not only additional home-related durable spendings, but also release delayed consumption."
"Ohik Kwon & Seungduck Lee & Jaevin Park, 2020.
 """,2020.,"Central Bank Digital Currency, Tax Evasion, Inflation Tax, and Central Bank Independence","2020-26, Economic Research Institute, Bank of Korea.","Can introducing Central Bank Digital Currency (CBDC) improve social welfare? We construct a dual currency model to study whether introducing CBDC with a recordkeeping technology can reduce tax evasion incentives in cash transactions, and further achieve a better allocation than in a cash-only economy. Tax evasion does not occur in an economy only with an inflation tax. However, if imposing a positive sales tax is inevitable for central bank independence, there arises an inefficiency associated with tax evasion in cash transactions. Introducing CBDC with positive interest can reduce this inefficiency and thus improve welfare by discouraging tax evasion, and rewarding tax payments."
"Hyejin Kim & Jungmin Lee, 2020.
 """,2020.,The Economic Costs of Diplomatic Conflict,"2020-25, Economic Research Institute, Bank of Korea.","We examine the economic impact of the diplomatic conflict using the THAAD crisis between South Korea and China as a case study. Using the synthetic control method, we estimate the conflict¡¯s impacts on Chinese tourists to Korea and stock prices of China-related Korean firms. We find that a negative effect on the inflow of tourists appeared with a lag of 3 months after the announcement of the decision and persisted for about 18 months. On the other hand, the impacts on the stock market appeared immediately, but insignificant and short-lived."
"Hak Kil Pyo & Taehyoung Cho & Minjung Kim, 2020.
 """,2020.,Estimating Capital Stock in North Korea and Its Implications (in Korean),"2020-24, Economic Research Institute, Bank of Korea.","This study aims to estimate the capital stock in North Korea from 1955 to 2018, based on the perpetual inventory method, and then to explain its economic growth. The capital stock is estimated by decomposing it into construction assets and equipment assets. Estimates show that North Korea's capital stock increased rapidly from 1955 to 1989, then decreased significantly in the 1990s, and recovered since the 2000s. The capital stock estimate as of 2018 stands at 24% higher than that in 1989. The capital stock/GDP ratio as of 2018 is around 3.9 times, which is higher than 3.0, the ratio commonly observed in many advanced economies. The estimated share of equipment capital within total capital is only 8% as of 2018, which compares with the corresponding rate (32%) during the 1970-1990 period in South Korea. Growth accounting analysis shows that North Korea achieved a rapid input-led growth in the early stages of economic growth, but has since shown stagnant or sluggish growth, due mainly to a drop in total factor productivity. It suffered from the economic crisis in the 1990s, and after 2000 the low growth pattern was maintained as productivity continued to remain sluggish amid a lower input growth rate. Since 2017, the economic growth rate has plummeted due to a further drop in the input growth rate and a significant drop in productivity in the wake of sanctions. We believe that the negative GDP growth rate during the so-called ¡°Arduous March Period,¡± and the low growth seen in succeeding periods that has been characterized by idle capacity with a poverty trap, can be explained by a Harrod (1939)-Domar (1946) model based on the Leontief production function as outlined in Barro and Sala-i-Martin (1995). As North Korea's growth conditions have deteriorated significantly due to the embargo on capital goods, it is required to improve its system that promotes productivity, efficiency and creativity through innovation in the ownership structure and management of farms and enterprises. More favorable foreign relations and an active opening policy are also necessary to attract foreign investment and technology, which is essential for human and physical capital accumulation and the resulting economic growth. Despite the estimates of this study, efforts should continue to be made to compare the historical accumulation process of individual assets, to calculate deflators, and to enhance the accuracy of production data used in estimating economic growth. In particular, the capital stock estimates in this paper should be understood as preliminary figures, as it is linked to work to improve the estimation of North Korea's other macro statistics."
"Ohik Kwon & Manjong Lee, 2020.
 """,2020.,Credit Market Frictions and Coessentiality of Money and Credit,"2020-23, Economic Research Institute, Bank of Korea.","We explore how credit market frictions matter for the coessentiality of money and credit. There are high-productivity and low-productivity borrowers. Limited commitment can yield a one-for-one credit limit in accordance with a borrower's productivity. An adverse selection problem caused by asymmetric information, however, makes lenders impose the credit limit of a low-productivity borrower on a high-productivity borrower. If productivities differ sufficiently between borrowers, a high-productivity borrower is credit-constrained and is willing to hold money to compensate for the deficiency of their credit limit, but a low-productivity borrower is not. This eventually implies the coessentiality of money and credit in the sense that the use of both improves the allocation from a social welfare perspective."
"Nam Gang Lee, 2020.
 """,2020.,Vulnerable Growth: A Revisit,"2020-22, Economic Research Institute, Bank of Korea.","This paper studies the distributional linkages between future economic performance and current conditions by means of a flexible quantile regression method. The examination of the linkages suggests that the conditional quantiles are nonlinear, which offers a new perspective on the conditional distribution. The nonlinearity causes countercyclical volatility to break down in both the right and left tails, the breakdown being associated with positive skewness in the short-term. As a corollary, in periods of recessions accompanied by a financial crisis, downside risks inherent in the distribution are smaller than we would think otherwise based on linear quantile regression."
"Rajiv Sarin & Hyun Chang Yi, 2020.
 """,2020.,A Model of Satisficing Behaviour,"2020-21, Economic Research Institute, Bank of Korea.","We build a model of satisficing behaviour. We explicitly introduce the value the decision maker “expects” from an action, where this expectation is adaptively formed. This valuation of an action is differentiated from her satisficing level which is taken to be the value the agent “expects” from her outside option. If the valuation is higher than her satisficing level she continues with the current action, updating her valuation of the action. If she receives a low payoff and her valuation of the action falls below her satisficing level, she updates her satisficing level downward the valuation and explores an alternative action. And, she occasionally experiences shocks on her satisficing level and choice of action. We show that in individual decision problems, satisficing behaviour results in cautious, maximin choice. In games like the Prisoner’s Dilemma and Stag Hunt, they in the long run play either cooperative or defective outcomes and in a class of coordination games, they coordinate on Pareto optimal outcomes."
"Soohyon Kim, 2020.
 """,2020.,Macroeconomic and Financial Market Analyses and Predictions through Deep Learning,"2020-18, Economic Research Institute, Bank of Korea.","Since Hinton, Osindero, and Teh (2006) developed the fast learning algorithm, deep learning has been a set of powerful tools that has recently achieved impressive performance across a wide spectrum of industries as well as in academia. For the macroeconomic and financial variables, however, more elaborate approaches need to be taken due to the unique latent features of them. In this regards, we propose novel approaches to apply deep learning to the predictions of time series variables in those fields. Specifically, we suggest ensembles of neural networks and Bayesian learning to estimate the posterior distributions of the forecasting outcomes as the out-of-sample forecasts. Examples are provided with predictions of monthly custom clearance exports from Korea and daily Korean won-US dollar exchange rates. The prediction results show that deep learning approaches are prevail even with non-granular data sets which normally used for the conventional econometric models."
