Author/s,Year,Title,ID,Abstract
"Matthias Burgert & Matthieu Darracq Pariès & Luigi Durand & Mario González & Romanos Priftis & Oke Röhe & Matthias Rottner & Edgar Silgado-Gómez & Nikolai Stähler & Janos Varga, 2025.
 """,2025.,Macroeconomic effects of carbon-intensive energy price changes: A model comparison,"2550, Banco de España.","This paper presents a novel model comparison to examine the challenges for monetary policy posed by changes in carbon-intensive energy prices. The environmental monetary models employed have a detailed multi-sector structure. The comparison assesses the effects of both a temporary and a permanent energy price increase, with a particular focus on the euro area and the United States. The temporary and permanent price shocks are both inflationary. However, the inflationary impact of the permanent shock depends on the underlying model assumptions and monetary policy response. In addition, the analysis establishes that these models share significant commonalities in their quantitative and qualitative results, while also revealing cross-country differences."
"Erik Andres-Escayola & Luis Molina & Javier J. Pérez & Elena Vidal, 2025.
 """,2025.,How economic policy uncertainty spreads across borders: the case of Latin America,"2549, Banco de España.","Latin America’s growth has been hindered by institutional instability and volatile economic policies, often driven by political cycles. These shifts generate uncertainty that deters investment and disrupts productivity. We analyze this phenomenon using Economic Policy Uncertainty (EPU) indices, assessing their impact on domestic macroeconomic variables via regional spillovers - spurred by regional proximity - and also considering the global transmission of EPU shocks to key trade and financial partners. To do so, we assemble a comprehensive and comparable database of EPU indices for the region: first, we construct new indices for Bolivia, Ecuador, Paraguay, Uruguay and Venezuela, and second, we update the ones available in other papers for Argentina, Brazil, Chile, Colombia, Mexico and Peru using a comparable methodology. Our results show that: (i) regional EPU shocks reduce regional GDP growth, deter capital inflows and spark exchange rate instability; (ii) Brazil and Mexico are key sources of uncertainty spillovers within the region; and (iii) EPU shocks in Latin America affect financial and real variables in major partner economies, with Spain being particularly exposed."
"Adina-Elena Fudulache & María del Carmen Castillo Lozoya, 2025.
 """,2025.,Demand drivers of central bank liquidity: A time-to-exit TLTRO analysis,"2548, Banco de España.","We exploit banks’ early repayments of targeted longer-term refinancing operations (TLTRO) following the program’s recalibration in October 2022 as a laboratory to uncover demand drivers of central bank liquidity. We formulate and estimate a discrete-time hazard model to early exit from TLTRO to identify what bank (country) characteristics drive a sticky, prolonged demand for central bank (long-term) operations as opposed to an early exit from such facilities. We also examine whether the more liquidity-risk exposed banks during the TLTRO phasing out period had a higher probability of becoming “liquidity dependent” on the ECB when exiting (Acharya et al., 2023). Finally, we discuss the policy implications of our findings, particularly in the context of the recent review of the ECB’s operational framework."
"Olympia Bover & Nezih Guner & Yuliya Kulikova & Alessandro Ruggieri & Carlos Sanz, 2025.
 """,2025.,Family-friendly policies and fertility: What firms have to do with it?,"2547, Banco de España.","Family-friendly policies aim to help women balance work and family life, encouraging them to participate in the labor market. How effective are such policies in increasing fertility? We answer this question using a search model of the labor market where firms make hiring, promotion and firing decisions, taking into account how these decisions affect workers’ fertility incentives and labor force participation decisions. We estimate the model using administrative data from Spain, a country with very low fertility and a highly regulated labor market. We use the model to study family-friendly policies and demonstrate that firms’ reactions result in a trade-off: policies that increase fertility reduce women’s participation in the labor market and lower their lifetime earnings."
"Tatsuro Senga & Iacopo Varotto, 2025.
 """,2025.,Investment Irreversibility in a Granular World,"2546, Banco de España.","Does micro-level investment irreversibility amplify or dampen business cycles? We show this depends on the source of aggregate risk. Investment irreversibility reduces fluctuations in both aggregate output and investment when firm-level idiosyncratic shocks aggregate up to economy-wide effects. This contrasts with models driven by aggregate productivity shocks, where irreversibility has little effect on volatility. The key is whether idiosyncratic shocks are suffi ciently volatile to cause the irreversibility constraint to bind cyclically for a significant mass of firms. If so, investment irreversibility hampers productivity-enhancing capital reallocation and reduces business cycle volatility. Moreover, household consumption smoothing is impeded when firms cannot adjust capital optimally, increasing real wage volatility. This labor market effect, combined with capital misallocation, reduces aggregate output volatility by 22 percent and investment volatility by 60 percent. These results highlight the importance of considering the source of economic volatility when assessing investment frictions. We provide empirical support for these predictions using firm-level investment data from Compustat."
"Esteban García-Miralles & Maximilian Freier & Sara Riscado & Chrysa Leventi & Alberto Mazzon & Glenn Abela & Laura Boyd & Baiba Brusbarder & Marion Cochard & David Cornille & Emanuele Dicarlo & Ian De, 2025.
 """,2025.,Fiscal drag in theory and in practice: A European perspective,"2545, Banco de España.","This paper presents a comprehensive characterization of “fiscal drag” —the increase in tax revenue that occurs when nominal tax bases grow but nominal parameters of progressive tax legislation are not updated accordingly— across 21 European countries using a microsimulation approach. First, we estimate tax-to-base elasticities, showing that the progressivity built in each country’s personal income tax system induces elasticities around 1.7-2 for many countries, indicating a potential for large fiscal drag effects. We unpack these elasticities to show stark heterogeneity in their underlying mechanisms (tax brackets or tax deductions and credits), across income sources (labor, capital, self-employment and public benefits), and across the individual income distribution. Second, we extend the analysis beyond these elasticities to study fiscal drag in practice between 2019 and 2023, incorporating observed income growth and legislative changes. We quantify the actual impact of fiscal drag and the extent to which government policies have offset it, through either indexation or other reforms. Our results provide new insights into the fiscal and distributional effects of fiscal drag in Europe, as well as useful statistics for modeling public finances."
"Luis Herrera & Mara Pirovano & Valerio Scalone, 2025.
 """,2025.,From risk to buffer: Calibrating the positive neutral CCyB rate,"2544, Banco de España.","This paper introduces the Risk-to-Buffer approach for calibrating the countercyclical capital buffer (CCyB), with a particular emphasis on the positive neutral (PN) CCyB rate, tailored to the euro area. The proposed methodology is applied in both a dynamic stochastic general equilibrium (DSGE) framework and a macroeconomic time series setting. It estimates the amplification of adverse shocks under varying levels of cyclical systemic risk and calibrates the CCyB to counteract these amplification effects. Using data from 2009 to 2023, the analysis suggests a positive neutral CCyB rate for the euro area ranging between 1% and 1.5%. The findings indicate that output and inflation shocks, which are not directly linked to the materialization of domestic systemic risk, and high degrees of trade openness, warrant a more prominent role of the PN CCyB in the overall CCyB calibration. The exercise to illustrate the methodology is carried out for the euro area. While national calibrations require additional exercises, this approach offers a flexible and complementary framework that can support and enhance national-level analyses."
"José Elías Gallegos & Esteban García-Miralles & Iván Kataryniuk & Susana Párraga Rodríguez, 2025.
 """,2025.,Fiscal Announcements and Households’ Beliefs: Evidence from the Euro Area,"2543, Banco de España.","This paper studies the effects of fiscal policy announcements on household expecta-tions. We document announcements of price-related expansionary fiscal measures in response to the cost-of-living crisis in the four largest euro area economies and exploit the exogenous timing of fiscal actions relative to household survey participation to estimate their causal effects. Following fiscal announcements, households revise their beliefs: inflation perceptions rise, and unemployment perceptions fall. The latter effect persists into short-run unemployment expectations, while inflation expectations remain unchanged, suggesting households perceived inflationary pressures as temporary. These results suggest a significant signaling channel of fiscal policy, as fiscal announcements reveal information about the underlying economic conditions and the government’s commitment to stabilization. We rationalize these findings through a general equilibrium New Keynesian model extended with information frictions and an inflation-stabilizing role for fiscal policy. The model isolates the informational content of fiscal policy and shows that belief revisions are consistent with demand-driven dynamics."
"Álvaro Fernández-Gallardo, 2025.
 """,2025.,"Natural disasters, economic activity, and property insurance: evidence from weekly U.S. state-level data","2542, Banco de España.","We estimate the dynamic causal effects of natural disasters on economic activity using weekly U.S. state-level data over the last forty years. Focusing on large, plausibly unexpected events, we find a temporary decline in state activity that starts in the first week and dissipates within a year. The size and persistence of this decline are scaled with the initial severity and are primarily driven by disruptions to mobility, manufacturing sentiment, exports, household spending, and labor markets. Inflation shows a muted response. We further show that these geographically concentrated shocks rarely register at the national level, underscoring the importance of high-frequency, regional data for capturing the full dynamics of geographically concentrated shocks like natural disasters. Lastly, we show that property insurance materially shapes outcomes: states with higher property insurance coverage experience milder downturns and faster recoveries. Our findings indicate that access to property insurance plays a key role in cushioning local economies against the disruptive effects of natural disasters."
"Rafael Guntin & Federico Kochen, 2025.
 """,2025.,The Origins of Top Firms,"2541, Banco de España.","What are the origins of top firms? What features characterize their life cycle trajectories on the way to the top? Using longitudinal firm-level data, we document novel facts about the first twenty years of the firms that reach the top 1 percent of the size distribution. Compared to the firms in the bottom 99 percent, top firms are eight times larger at entry and grow six times more during their first two decades. In terms of inputs, they start with high capital investments, yet their capital-output ratio and labor share decline as they age. As a result, their profit share is much more backloaded towards the second decade of their life cycle. We show that a firm dynamics model with ex-ante heterogeneity, non-homothetic input costs, and forward-looking financing can explain these empirical patterns. Our quantitative results showcase the importance of accounting for top and bottom firm dynamics for the aggregate implications of financial frictions, recent macroeconomic trends, and corporate taxation."
