Author/s,Year,Title,ID,Abstract
"Panayiotis Andreou & Sofia Anyfantaki & Konstantinos Dellis & Christos, 2025.
 """,2025.,Doing matters more than knowing: evidence from environmental preferences,"353, Bank of Greece.","This paper examines the relation between financial knowledge proficiency, financial behaviors, and pro-environmental attitudes, focusing on the willingness to pay for eco-friendly products. Individuals who exhibit stronger financial behaviors, such as saving for the future and making considered purchases, show significantly higher levels of environmental concern and are more likely to engage in sustainable consumption. The results also show that financial knowledge proficiency does not directly predict pro-environmental attitudes; rather, its influence operates indirectly by fostering sound financial behaviors. The study highlights the importance of financial habits in shaping long-term, environmentally responsible decision-making and provides insights for designing policies that integrate financial capability with sustainability initiatives to promote eco-conscious consumer practices."
"Zacharias Bragoudakis & Alexandros Tsioutsios, 2025.
 """,2025.,Bank concentration and asymmetric interest rate spreads pass through: evidence from selected euro area countries,"352, Bank of Greece.","The reaction of bank retail interest rates and deposit rates to shifts in interbank rates is influenced by the structural characteristics of the financial and banking system, as well as by the degree of competition within the banking sector. A recursive momentum threshold autoregressive asymmetric error correction model (Recursive MTAR-AECM) with non-linear adjustment is used to explore the existence of asymmetries in the adjustment of lending-deposits spreads to deviations in interbank rates for a group of selected euro countries. The findings provide evidence in favor of asymmetric adjustment in interest rate spreads and the asymmetric adjustment associated with the market power of banking sector concentration explanation of interest rate rigidity."
"Stefanos Delikouras & Athanasios Kontinopoulos & Dimitris Malliaropulos & Petros Migiakis, 2025.
 """,2025.,Bond portfolio rebalancing during dash-for-cash events: evidence from the COVID-19 outbreak,"351, Bank of Greece.","Using a granular dataset of bond fund holdings at the security-level, we examine how non-bank financial intermediaries respond to extreme liquidity crises like the COVID-19 shock of March 2020. U.S. funds primarily liquidated high-quality bonds, like Treasuries, while Euroarea funds sold across the rating spectrum. Despite these large liquidations, portfolio allocations across ratings and sectors remained stable, suggesting proportional rebalancing to maintain investment mandates. Funds with larger shares of highly-rated bonds sold lower-rated bonds less aggressively and experienced smaller losses. Our results highlight the importance of portfolio composition for the resilience of market-based finance and the transmission of monetary policy."
"Georgios Angelopoulos & Zacharias Bragoudakis & Dimitrios Dimitriou & Alexandros Tsioutsios, 2025.
 """,2025.,A new proposal for forecasting inflation in the eurozone. A global model,"350, Bank of Greece.","This paper evaluates the forecasting performance of the relatively new machine learning Global Unrefined (GlobalUN, hereafter) model with respect to inflation in the Eurozone. In this global pooled neural network framework, we use a quarterly panel dataset covering 20 euro-area countries (2001Q1â€“2025Q1) together with the EA-20 aggregate, which includes key variables such as HICP, energy prices, food, and others. Thus, the network remains simple yet flexible enough to absorb heterogeneity across countries. Our contribution of our work is crucial since monetary policy in the Eurozone hinges on accurate inflation forecasts (i.e., as ECB decisions target expected rather than current inflation). Our findings are crystal clear. The GlobalUn model outperforms all other benchmark models and the advanced machine learning XGBoost model in almost all Eurozone countries and horizons (i.e., the NAÃ VE model seems to outperform in a few cases). These results are useful for policymakers, central banks, and fiscal institutions, as they should take the GlobalUN model into account as part of their arsenal."
"George Economides & James Malley & Apostolis Philippopoulos & Anastasios Rizos, 2025.
 """,2025.,Policy interventions to mitigate the long-run costs of Brexit,"349, Bank of Greece.","This paper examines the long-term macroeconomic impacts of Brexit on the UK economy employing a dynamic general equilibrium model that incorporates endogenous firm entry, price markups and market competition. By integrating the trade frictions introduced by Brexit, the model explains how increased trade costs have altered firm behaviour, market structure, and broader economic performance. We assess a range of policy responses, from theoretically optimal but practically difficult tax-subsidy schemes to more realistic measures aimed at reducing firm entry barriers, encouraging private and public investment, and subsidizing labour costs. Our findings underscore the critical role of policies that can most directly influence firm creation, investment, and competition in addressing the structural challenges Brexit has introduced."
"Sophocles Brissimis & Evangelia Georgiou, 2025.
 """,2025.,Assessing the impact of unconventional monetary policy on long-term interest rates in the euro area with the use of a macro-finance model,"348, Bank of Greece.","This paper draws on the macro-finance model developed in Brissimis and Georgiou (2022) which exploits the expectations hypothesis with time variation in the term premium, to evaluate the effects of unconventional monetary policy on long-term interest rates in the euro area. The empirical specification of the model provides an overall excellent fit to the data of the euro area. To assess the effects of quantitative easing, we employ stock measures of this variable derived from the liabilities side of the Eurosystem balance sheet. We provide estimates for both short-run and long-run effects, the latter resulting from sustained increases in central bank liabilities. Our empirical results suggest that stronger effects on long-term rates arise from broader measures of quantitative easing, although these effects seem to have weakened during the negative interest rate period."
"Sofia Anyfantaki & Marianna Blix Grimaldi & Carlos Madeira & Simona Malovana & Georgios Papadopoulos, 2025.
 """,2025.,Decoding climate-related risks in sovereign bond pricing: a global perspective,"347, Bank of Greece.","Climate change poses a significant risk to financial stability by impacting sovereign credit risk. Quantifying the exact impact is difficult as climate risk encompasses different components - transition risk and physical risk - with some of these, as well as the policies to address them, playing out over a long-time horizon. In this paper, we use a large panel of 52 developed and developing economies over two decades to empirically investigate the extent to which climate risks influence sovereign yields. The results of a panel regression analysis show that transition risk is associated with higher sovereign yields, with the effect more pronounced for developing economies and for high-emitting countries after the Paris agreement. In contrast, high-temperature anomalies do not appear to be priced-in sovereign borrowing costs. At the same time, countries with high levels of debt tend to record higher sovereign yields as acute physical risk increases. In the medium term, using local projections, we find that sovereign yields respond significantly but also differently to different types of disaster caused by climate change. We also explore the nonlinear effects of weather-related natural disasters on sovereign yields and find a striking contrast in the impact of climate shocks on sovereign borrowing costs according to income level and fiscal space when the shock hits."
"George Hondroyiannis & Evangelia Papapetrou & Pinelopi Tsalaporta, 2025.
 """,2025.,Exploring the role of technological innovation and fertility on energy intensity: Is a fresh narrative unfolding?,"346, Bank of Greece.","Amid the transition to sustainable energy systems, understanding the drivers of energy intensity is essential for informed policymaking. This paper investigates the influence of technological innovation and demographic dynamics on energy intensity across 27 OECD countries from 1990 to 2022, offering novel policy insights. Employing a multifaceted empirical strategy, we utilize dynamic common correlated effects (DCCE) estimators to address cross-sectional dependence and slope heterogeneity, both salient features of our dataset characterized by interdependent units. The empirical findings indicate that technological innovation significantly reduces energy intensity through improvements in efficiency and the adoption of cleaner technologies. Economic openness and GDP per capita are linked to lower energy intensity, underscoring the role of trade and wealth in driving energy efficiency. Conversely, higher fertility rates are linked to increased energy intensity, reflecting population growth and greater demand for energy-intensive services. Quantile regressions uncover heterogeneity across the distribution, with stronger effects of technological innovation and credit access at specific quantiles. We find that fertility positively influences energy intensity across most of the distribution, with the effect diminishing at the upper quantilesâ€”highlighting that higher fertility is associated with increased energy consumption primarily at lower and middle levels of energy intensity. Promoting technological innovation and financial access, while accounting for demographic pressures, is essential for achieving sustainable energy transitions in developed economies."
"KÄ rlis Vilerts & Sofia Anyfantaki & KonstantÄ«ns BeÅ†kovskis & Sebastian Bredl & Massimo Giovannini & Florian Matthias Horky & Vanessa Kunzmann & Tibor LalinskÃ½ & Athanasios Lampousis & Elizaveta Lu, 2025.
 """,2025.,Details matter: loan pricing and transmission of monetary policy in the euro area,"345, Bank of Greece.","Does the maturity of the relevant risk-free rate influence the strength of monetary policy pass-through to interest rates on new loans? To address this question, we present novel empirical evidence on lending practices across all euro area countries, using AnaCredit data covering nearly seven million new loans issued to non-financial corporations in 2022â€“2023. We document substantial variation in (a) the prevalence of fixed- vs floating-rate loans, (b) rate fixation periods, and (c) reference rates. This variation results in lending rates being exposed to different segments of the risk-free rate yield curve which, in turn, influence their sensitivity to monetary policy changes. We show that loans linked to shorter-maturity risk-free rates experience more pronounced monetary pass-through. Importantly, this effect is not purely mechanical, as part of the effect is offset by adjustments in the premium, revealing previously less-explored heterogeneity in the pass-through to lending rates."
"Panagiotis Konstantinou & Anastasios Rizos & Artemis Stratopoulou, 2025.
 """,2025.,The effectiveness of macroprudential policies in curbing operational risk exposures,"344, Bank of Greece.","Banksâ€™ focus nowadays shifts to non-financial risks, since credit and market risks are now well understood and under better control. We study whether macroprudential policy, designed to enhance financial system resilience, can mitigate or magnify losses stemming from such risks. To do so, we use a panel dataset on Eurozone countries between 2009-2018 and examine the dynamic path of operational risk exposures in response to tightening and loosening events of various macroprudential policies. Our results show that the tightening of specific measures, i.e., loan loss provisions, liquidity and loan to value, increases operational losses, whereas the loosening of measures, such as conservation buffers, loan loss provisions and debt service to income leads to a reduction in operational losses. Our results remain robust when we employ the inverse probability weighted estimator."
