Author/s,Year,Title,ID,Abstract
"Marco D’Amico & Martina Fazio, 2025.
 """,2025.,Modelling income risk dynamics in the UK: a parametric approach,"1129, Bank of England.","This paper uses rich, administrative-quality data on earnings in the UK from the Annual Survey of Hours and Earnings (ASHE) to provide a detailed analysis of income risk and its patterns across individuals and over time. We develop a model of income dynamics that accounts for the broader state of the economy and successfully captures key features of the UK earnings growth distribution, including: a cyclical variance, procyclical skewness (more frequent negative earnings shocks during recessions), and a distribution that combines sharp peaks with long, heavy tails. The model is simple enough to be integrated into broader macroeconomic frameworks, such as heterogeneous agent models, and could be used to support policy scenario analysis."
"Manuel A. Muñoz & Frank Smets, 2025.
 """,2025.,The positive neutral countercyclical capital buffer,"1128, Bank of England.","We reconcile theory and recent evidence on the benefits of building releasable bank capital buffers when there is headroom for doing so by building a quantitative macro-banking model that provides a rationale for static bank capital requirements and dynamic capital buffers due to externalities arising from bank risk failure and collateral constraints. Optimal dynamic capital buffers gradually build in response to expected upward shifts in bank net interest margins. In the absence of pecuniary externalities due to collateral constraints, such capital buffers are ineffective. The model also captures previous empirical findings such as the negative effect of a capital requirement tightening on short-term lending and the optimality of setting static bank capital requirements at relatively conservative levels. We present an application of our quantitative analysis in the form of a simple framework for calibrating the so-called ‘positive neutral counter-cyclical capital buffer’ (PN-CCyB)."
"Marcus Buckmann & Ed Hill, 2025.
 """,2025.,Improving text classification: logistic regression makes small LLMs strong and explainable ‘tens-of-shot’ classifiers,"1127, Bank of England.","Text classification tasks such as sentiment analysis are common in economics and finance. We demonstrate that smaller, local generative language models can be effectively used for these tasks. Compared to large commercial models, they offer key advantages in privacy, availability, cost, and explainability. We use 17 sentence classification tasks (each with 2 to 4 classes) to show that penalised logistic regression on embeddings from a small language model often matches or exceeds the performance of a large model, even when trained on just dozens of labelled examples per class – the same amount typically needed to validate a large model’s performance. Moreover, this embedding-based approach yields stable and interpretable explanations for classification decisions."
"Carole Comerton-Forde & Billy Ford & Thierry Foucault & Simon Jurkatis, 2025.
 """,2025.,Investors as a liquidity backstop in corporate bond markets,"1126, Bank of England.","Investors act as a liquidity backstop in the corporate bond market. By providing liquidity, investors help ease dealers’ balance sheet constraints, especially during market stress. During the March 2020 Dash-for-Cash, in bonds where investors stopped providing liquidity, transaction costs rose by 38%. We find the composition of types of liquidity providers – rather than just their presence – shapes trading costs. Dealers relying on flexible-mandate investors, such as hedge funds, are more resilient to liquidity shocks. Dealers offer discounts to investors for past liquidity services to maintain liquidity provider networks. These discounts represent two thirds of relationship discounts."
"Nikoleta Anesti & Vania Esady & Matthew Naylor, 2025.
 """,2025.,Food prices matter most: sensitive household inflation expectations,"1125, Bank of England.","We construct a novel data set to investigate the sensitivity of household inflation expectations to personal experienced inflation, testing whether households weigh price changes differently across items in the consumption basket. Across households of all age, income, gender, work status, UK region, and house tenure groups, food prices matter significantly more for inflation expectations dynamics than other components, including energy. In particular, households’ expectations are sensitive to changes in food price-driven inflation at short, medium and long horizons, and this association is persistent, non-linear and asymmetric. Our results imply that the risk of household expectations contributing to persistent inflationary dynamics are greatest following large and inflationary shocks to, specifically, food prices. Moreover, our findings can rationalise a number of empirical regularities related to household expectations: their upwards bias relative to actual inflation; cross-sectional heterogeneity across demographic groups; and their ‘supply-side’ oriented view of the economy."
"Davide Brignone & Marco Mazzali, 2025.
 """,2025.,It is all about demand and supply: a dualistic view of the euro area business cycle,"1124, Bank of England.","What drives business cycle fluctuations in the euro area (EA)? To answer this question, we build a rich, high-dimensional dataset of quarterly time series covering both EA aggregates and its major member countries. We find that just two shocks account for the bulk of the EA’s cyclical dynamics, and that they map cleanly onto standard demand and supply disturbances, consistent with textbook macroeconomic theory. Beyond this aggregate result, we uncover a high degree of synchronization in how member states respond to these shocks, highlighting the presence of a shared underlying cycle across the region. We also provide a historical decomposition of key EA macro variables based on the identified demand and supply components, with a particular focus on the recent inflation surge. Our findings show that supply-side factors dominated the initial phase of inflation through mid-2022, while demand-side pressures intensified and became increasingly important from mid-2022 onward."
"Jin Cao & Pierre Dubuis & Karolis Liaudinskas, 2025.
 """,2025.,Relationship lending and monetary policy pass-through,"1123, Bank of England.","This paper investigates the link between bank‑firm lending relationships and monetary policy pass‑through, focusing on episodes of low interest rates. Using administrative tax and bank supervisory data ranging from 1997 to 2019, we track the entirety of bank‑firm relationships in Norway. Our analysis shows that when the central bank’s policy rate is relatively low, firms that have maintained a long‑term relationship with their bank experience a lower pass‑through of further policy rate cuts. Specifically, we find that when the policy rate is around 1%, each additional year of relationship decreases the pass‑through of a rate cut by 2.7 percentage points. We propose a theoretical model to rationalise our empirical findings, where state‑dependent differential pass‑through results from the presence of firms’ switching costs and banks’ leverage constraint. The model highlights that the composition of relationship lengths in the economy matters for aggregate monetary policy pass‑through. The proportion of long‑term relationships in the Norwegian economy significantly increased after the global financial crisis. Using the model, we calculate a counterfactual aggregate pass‑through for 2017, a period of monetary easing in a low‑rate environment, assuming this proportion had remained at its pre‑crisis level."
"András Borsos & Adrian Carro & Aldo Glielmo & Marc Hinterschweiger & Jagoda Kaszowska-Mojsa & Arzu Uluc, 2025.
 """,2025.,Agent-based modeling at central banks: recent developments and new challenges,"1122, Bank of England.","Over the past decade, agent-based models (ABMs) have been increasingly employed as analytical tools within economic policy institutions. This paper documents this trend by surveying the ABM-relevant research and policy outputs of central banks and other related economic policy institutions. We classify these studies and reports into three main categories: (i) applied research connected to the mandates of central banks, (ii) technical and methodological research supporting the advancement of ABMs; and (iii) examples of the integration of ABMs into policy work. Our findings indicate that ABMs have emerged as effective complementary tools for central banks in carrying out their responsibilities, especially after the extension of their mandates following the global financial crisis of 2007–09. While acknowledging that room for improvement remains, we argue that integrating ABMs into the analytical frameworks of central banks can support more effective policy responses to both existing and emerging economic challenges, including financial innovation and climate change."
"Salim Chahine & Mai Daher, 2025.
 """,2025.,Do portfolio companies learn from their peers? Evidence from venture capital funding,"1121, Bank of England.","We investigate the impact of ‘learning from peers’ on the fundraising abilities of start-up companies. Employing data on the financing rounds of privately owned portfolio companies, we find that companies observe the round amounts of their most successful peers and learn to negotiate higher round amounts with venture capital investors. We further show that the number of common directors or venture capital firms between portfolio companies and their most successful peers has a positive impact on the round amounts of these portfolio companies, which supports the existence of conversational learning. Moreover, observational learning from peers is higher in hot markets, where investors rely on less costly information on peers. Our findings confirm that both observational and conversational learning allow portfolio companies to be in a better negotiating position, thus enhancing their ability to secure funding and invest in their growth."
"Matteo Ficarra & Rebecca Mari, 2025.
 """,2025.,Weathering the storm: sectoral economic and inflationary effects of floods and the role of adaptation,"1120, Bank of England.","This paper investigates the impact of floods on economic output and prices at the sectoral level for local authorities in England using highly granular climate and economic data. We use precipitation z-scores as an instrument for floods to deal with endogeneity stemming from adaptation capital and we obtain dynamic impulse responses to the shock on GDP and inflation with a local projection approach (LP-IV). We find significant heterogeneities across sectors in terms of size, timing and sign, with sectoral output (prices) declining (increasing) up to 20% (250 basis points) following an increase in the number of floods. This evidence explains well the response of aggregate GDP and inflation found in the literature. Our estimates suggest that reduced investment can only partially explain the decline in output, and only in manufacturing. The response of the number and value of real estate market transactions is instead consistent with a wealth effect that is line with the demand side behaviour in wholesale and retail trade. To shed more light on the interaction among sectors, we use input-output tables and show that flood shocks propagate through the production network. Finally, using local authority expenditure on flood defences and a proxy for adaptation capital, we find that investments in adaptation strongly reduce the likelihood of flooding, but are less effective at mitigating economic damages once a flood hits. Our analysis highlights the importance of disentangling the economic impact of climate change at the sectoral level and the need for adaptation investments."
