Author/s,Year,Title,ID,Abstract
"Atsuki Hirata & Yusuke Takahashi & Naoya Kato, 2025.
 """,2025.,Interest Rate Sensitivity of Capital Investment in Japan: An Analysis Using Panel LP-IV,"25-E-13, Bank of Japan.","This paper examines the interest rate sensitivity of capital investment in Japan. We first summarize recent global trends using macro-level statistics from advanced economies. Using firm-level financial survey data for Japanese firms, we then demonstrate how structural changes surrounding Japanese firms, such as the increase in intangible asset investment and overseas capital investment, affect interest rate sensitivity, employing a method called Panel LP-IV (Local Projection Instrumental Variables). The analysis yields several key findings: first, the interest rate sensitivity of capital investment has shown a declining trend in recent years globally. Second, intangible asset investment has a low interest rate sensitivity; consequently, firms with a higher proportion of intangible assets in their aggregate capital investment are less sensitive to interest rate changes compared to firms with a lower proportion. Last but not least, declining growth expectations and increasing labor shortages can additionally depress interest rate sensitivity. While firms with a higher overseas investment ratio showed a lower interest rate sensitivity for tangible asset investment domestically compared to firms with a lower overseas investment ratio, this difference is not statistically significant."
"Taiga Okuyama & Kazutoshi Sugimura, 2025.
 """,2025.,"Private Law Frameworks for Tokenized Assets: Implications from Legal Developments in Switzerland, Germany, France, and the United States","25-E-12, Bank of Japan.","In recent years, ""asset tokenization"" has attracted attention, with proof-of-concept experiments and actual transactions progressing worldwide. These initiatives can be understood as efforts to introduce new technologies to payment and settlement systems and extend their functionality in such a way that is only possible with digital technologies. As a prerequisite for that, legal stability concerning rights is essential. Various approaches exist among jurisdictions regarding how to determine private rights concerning the holding and transfer of tokenized assets. In this paper, we (i) extract the private law elements required for asset holding and transfer, (ii) analyze the legal developments carried out in Switzerland, Germany, France, and the United States while focusing on how these elements can be satisfied during tokenization, and (iii) provide an overview of proof-of-concept experiments and actual transactions conducted based on these developments. As a result of the analysis, a difference was confirmed between cryptoassets such as Bitcoin and tokenized assets: the former is designed to take on the characteristics of transferable assets by placing emphasis on the exclusivity of the power to dispose of tokens held by the managers of private keys rather than the principle of consensual transfer of rights, while the latter is premised on the structure that ""rights in personam"" (typically, claims) are recorded by tokens. Similarly, in Japan, considering these characteristics of tokenized assets, it would seem to be an option to proceed with further clarification of private rights through refinement of legal interpretation while considering legislative solutions that reference precedents from the above countries."
"Yuki Konaka & Toshitaka Maruyama & Fumitaka Nakamura, 2025.
 """,2025.,Exploratory Scenario Analysis Considering the Growing Presence of Domestic and Foreign Investment Funds,"25-E-11, Bank of Japan.","Central banks around the globe have increasingly incorporated the NBFI (Non-Bank Financial Intermediary) sector into their stress testing exercises, including exploratory scenario analyses, reflecting its growing importance in recent years. This paper outlines the methodology used to develop the scenario for the exploratory analysis presented in the Financial System Report (April 2025) issued from the Bank of Japan, which explicitly examines the impact of stress amplified by investment funds on Japanese financial institutions. The scenario considers a case in which investment funds, predominantly open-end funds, liquidate their securities holdings in response to a negative shock in the global financial market and the real economy, similar to what happened during the Global Financial Crisis. The negative shock is amplified through three primary channels: (i) a further decline in asset prices, (ii) a deeper slowdown in the real economy triggered by the asset price decline, and (iii) impairments of investments and loans to overseas funds. The resulting amplifying impact on the capital adequacy ratio by the end of the simulation period (end of FY 2027) is approximately a 1 percentage point reduction for IABs (internationally active banks). The increase in credit costs, stemming from the deterioration of the real economy, broadly reduces the ratio across all banks, while the declines in asset prices and impairments of investments and loans also contribute to the decrease for IABs. Immediately following the onset of stress, the sharp decline in asset prices exacerbates the valuation gains and losses of securities. It is notable, however, given limited data and research available on the NBFI sector, including open-end funds and hedge funds and their potential ripple effects on the broader financial system, our findings should be considered exploratory. They are based on a certain set of assumptions and therefore warrant careful interpretation."
"Ko Adachi & Naoya Kato, 2025.
 """,2025.,Second-Round Wage-Price Effects of Raw Material Costs: An Empirical Analysis Using a DSGE Model,"25-E-10, Bank of Japan.","This paper empirically examines the second-round effect of raw material price increases using a DSGE model. Specifically, it explores how price increases driven by rising raw material costs spill over into wages, which then feed back into prices. The analysis focuses on Japan and Europe, which share similar structures in terms of raw material inputs. The results show that the first-round effect, which captures the pass-through of rising raw material costs to prices, is slower in Japan than in Europe. On the other hand, the second-round effect through wages is gradual but persistent in both Japan and Europe. Furthermore, during the period of high inflation since 2020, the first-round effect of higher raw material costs was the main driver of inflation in both Japan and Europe, while the second-round effect contributed to the persistence of inflation. The paper also suggests that the recent changes in wage rigidity in Japan may have strengthened the second-round effect."
"Nobuhiro Abe & Yuto Ishikuro & Koki Nakayama & Yutaro Takano, 2025.
 """,2025.,Interest Rate Pass-through by U.S. Banks: Macro Implications of Bank Competition,"25-E-9, Bank of Japan.","Do heterogeneity and competition among banks matter for the macroeconomy? To address this question, we develop a Heterogeneous Bank New Keynesian (HBANK) model that incorporates oligopolistic competition among banks in both loan and deposit markets into an otherwise canonical New Keynesian model. We calibrate model parameters for the cost structure and demand for loans and deposits using data of the 170 largest banks in the U.S. Differences in the parameter values reflect differences among banks in the size of duration risk they take, markups of loan rates, and markdowns of deposit rates. Based on simulation exercises, we show that aggregate lending becomes more responsive to monetary and productivity shocks in our HBANK model than in a Representative Bank New Keynesian model (RBANK), primarily because of heterogeneity in duration risk and the responsiveness of loan markups among banks."
"Kenta Yamamoto & Tomohiro Okubo & Nobuhiro Abe & Yukio Minoura, 2025.
 """,2025.,The Presence of Foreign Open-End Funds in Japan's Financial Markets,"25-E-8, Bank of Japan.","In recent years, the rising share of NBFIs (Non-Bank Financial Intermediaries) in the global financial system has been accompanied by an increase in the presence of foreign open-end funds in Japan's financial markets. This paper first documents the fund flows into equity, bond, and real estate open-end funds investing in Japanese financial assets, as well as their buying and selling behavior, using granular data sets. Similar to the findings by existing studies, we find there are significant outflows from foreign open-end funds investing in Japanese financial assets occurred during events such as the global financial crisis and the COVID-19 pandemic, as well as during episodes of rising policy interest rates abroad. These funds sell their assets, including their Japanese assets, in response to redemption requests. Next, we estimate the sensitivity of asset prices in Japan's stock and REIT markets to asset sales by market participants to understand the impact of trading by foreign open-end funds on Japan's financial markets. The estimated sensitivity is statistically significantly positive and its magnitude is found to be close to estimates for the United States reported in the literature. These findings together imply that outflows from foreign open-end funds could affect asset prices in Japanâ€™s financial markets through asset sales during periods of stress originating abroad or when uncertainty in domestic financial markets rises."
"Kohei Maehashi & Daisuke Miyakawa & Takatoshi Sasaki & Taihei Sone, 2025.
 """,2025.,Skewed Interest Rate Expectations and Effects of Central Banks' Market Operations: Empirical Findings Using Granular Transaction Data,"25-E-7, Bank of Japan.","Using trade repository data on transaction records of Japanese yen-denominated overnight index swap, we estimate individual market participants' expectations on future interest rates and document their time-variant distribution with its higher order moments. By leveraging this novel information, we implement quantitative exercises to verify the state-dependent effects of the Bank of Japan (BoJ)'s outright purchase of Japanese Government Bonds (JGBs) on the JGB yields conditional on the moments of this expectation distribution. We find that the BoJ's fixed-rate purchase operation resulted in a larger reduction of the JGB yields when the expectation distribution on future interest rates was skewed more positively. This empirical result implies the usefulness of the estimated expectation distribution for central banks to conduct market operations effectively."
"Go Fujii & Shogo Nakano & Kosuke Takatomi, 2025.
 """,2025.,Households' Medium- to Long-Term Inflation Expectations Formation: The Role of Past Experience and Inflation Regimes,"25-E-6, Bank of Japan.","This paper presents a quantitative analysis of how households' medium- to long-term inflation expectations are influenced by individuals' ""past inflation experience"" and ""inflation regime - inflation trend at each point in time,"" using microdata from the Bank of Japan's Opinion Survey on the General Public's Views and Behavior. The results reveal that households who have experienced averagely lower inflation rates over individuals' lifetime tend to form statistically significantly lower inflation expectations. This finding suggests that the ""lower experienced inflation rates,"" particularly among younger generations who have spent most of their lives in a deflationary environment, may have contributed to prolonged low inflation expectations in Japan. On the other hand, the analysis also indicates that the relationship between inflation expectations and past inflation experience is not always constant. During high-volatility inflation regimes (i.e., periods of significant price fluctuations), the relationship with past inflation experience weakens, while the relationship with inflation perceived at each point in time strengthens. Through this non-linear mechanism, the recent surge in actual inflation may have pushed up inflation expectations in Japan. Moreover, the recent increase in inflation has contributed to the rapid increase in experienced inflation rates among younger generations. This implies that the previous situation, where lower experienced inflation rates among these generations had exerted downward pressure on Japan's inflation expectations, is undergoing a shift. It is important to closely monitor how this increase in experienced inflation rates will influence future trends in long-term inflation expectations."
"Yosuke Kido & Kotaro Suita, 2025.
 """,2025.,Labor Cost Passthrough: Evidence from Japanese Long-term Subnational Data,"25-E-5, Bank of Japan.","In this paper, we analyze labor cost passthrough to price inflation in the pre-pandemic period in Japan, utilizing novel long-term subnational datasets. In the first part of the paper, we construct a long-term prefecture-level dataset of productivity-adjusted labor costs, service prices and local labor market tightness, utilizing relevant disaggregate prefectural data and applying prefecture-level Panel Vector Autoregression to study the interlinkages of the variables. We find statistically significant labor cost passthrough to service prices at the local level for the sample of fiscal year 1985-2018, but also find that the passthrough weakened for the sample after the mid-1990s, when Japan entered low inflation phase. In addition, by utilizing the R-JIP database, the industry-prefectural data available from the 1970s, we find that both the services and manufacturing sectors experienced a decline in labor cost passthrough to the value-added deflators after the mid-1990s. We also find statistically significant asymmetric labor cost passthrough characterized by larger upward passthrough compared to downward passthrough (often called the rockets and feathers effect) in the services sector for the period before the mid-1990s, but such asymmetric effects disappeared in the post-mid 1990s period."
"Takushi Kurozumi & Willem Van Zandweghe, 2025.
 """,2025.,"Supply Shocks, Employment Gap, and Monetary Policy","25-E-4, Bank of Japan.","How should monetary policy respond to supply shocks in terms of inflation and employment stabilization? We introduce labor force entry and exit in an otherwise standard model with staggered price- and wage-setting to include employment in the model. A welfare-maximizing policy features wage growth stabilization with variation in the employment gap and inflation. Under staggered price- and wage-setting, the real wage adjustments to shocks entail a welfare cost, and variation in the employment gap contributes to reducing the welfare cost. Therefore, leaning against the employment gap induces substantial welfare losses for supply shocks compared to the welfare-maximizing policy."
