Author/s,Year,Title,ID,Abstract
"Erick Rangel & Marco A. Esteban Aguirre & Irving Llamosas-Rosas, 2025.
 """,2025.,Early effects of nearshoring in the manufacturing labor market in Mexico,"2025-16, Banco de México.","We apply the synthetic control method to analyze the initial effects of nearshoring on labor outcomes in Mexico's manufacturing sector from July 2020 to June 2023. Our methodology compares jobs, earnings, and productivity among industry groups more likely to be affected by nearshoring, as identified through a propensity index, with a counterfactual constructed from less likely affected industries. Our results indicate that nearshoring is potentially generating early gains in manufacturing jobs but has not led to improvements in earnings. Furthermore, we do not observe a consistent impact on productivity, although some specifications suggest a modest positive effect in industries with a higher nearshoring propensity. While nearshoring effects may take longer to materialize, our findings highlight its initial implications for the Mexican manufacturing sector."
"Agustina Colonna & Lorenzo Aldeco Leo, 2025.
 """,2025.,"Outsourcing, Labor Regulations and Profit-Sharing: Evidence from Mexico","2025-15, Banco de México.","This paper studies the use of domestic outsourcing to circumvent labor benefits and its consequences for firms and workers. Drawing on longitudinal establishment data and employer-employee data from Mexico, we provide evidence that many firms were outsourcing their entire workforce to avoid mandatory profit-sharing. A model shows that the incentive for this practice arises when firms face a labor supply curve that is less elastic to profit-sharing than to wages. We then leverage a reform that restricted outsourcing to assess the model predictions. The reform caused previously-outsourcing establishments to insource their workers and comply with profit-sharing, with no evidence of an effect on total employment. Treated plants partially offset the profit-sharing increase through lower wage growth, yet total worker compensation increased, consistent with our model. Self-collected survey evidence suggests that inelasticity to profit-sharing is partly explained by information frictions among workers, implying that they benefited from the reform."
"Lorenzo Aldeco Leo & Horacio Reyes Rocha, 2025.
 """,2025.,An estimation of the Phillips curve in Mexico using city-level data,"2025-14, Banco de México.","We estimate the slope of the Phillips curve in Mexico between 2005 and 2020 using city level data. We overcome the endogeneity of unemployment and core inflation through a panel instrumental variable strategy. Time-period fixed effects account for aggregate supply, demand, and expectation variables, while possible endogeneity between unemployment and core inflation at the city-quarter level is addressed with local labor demand shock instruments. We find a statistically significant Phillips curve linking local unemployment to local core inflation in Mexico, but this relationship is relatively weak: an increase of 1 percentage point in city-level unemployment lowers year-on-year core inflation by approximately 0.18 percentage points. We analyze city-level characteristics that relate to steeper Phillips curves, and find that informality rates, cash transfers, and some demographic characteristics in cities strengthen the relationship between unemployment and inflation."
"Lenin Arango-Castillo & María José Orraca & Regina Briseño, 2025.
 """,2025.,Inflation volatility across advanced and emerging economies during the COVID-19 pandemic,"2025-13, Banco de México.","Using a sample of advanced and emerging economies, this paper studies the volatility of three inflation measures from January 2001 to March 2023, employing variants of the GARCH model that account for the sign, magnitude, and persistence of shocks. The results show that the inflation surge during the COVID-19 pandemic coincided with increased volatility in several countries. However, this is not the norm in the studied period. Descriptive evidence indicates that a strong positive correlation between inflation and its volatility within countries was observed at the beginning of the Global Financial Crisis and during the pandemic, two periods characterized by global inflationary pressures and high commodity prices, whereas in other periods, this correlation is nonexistent or weak."
"Alberto Montagnoli & Miroslava Quiroga-Trevino & Christoph Thoenissen, 2025.
 """,2025.,The Balance Sheet Channel of Fiscal Policy: Sovereign Exposure and Credit to Firms in the European Periphery,"2025-12, Banco de México.","This paper provides empirical evidence on the balance sheet channel of fiscal policy in peripheral European economies. Our findings using a Panel VAR, reveal that shifts in financial institutions' balance sheets following a debt-financed fiscal expansion, reduce credit provision and investment in these countries. Moreover, the analysis indicates that economies with higher sovereign exposure experienced higher credit crunches and investment declines. To explore the underlying mechanisms, we estimate a DSGE model that incorporates banks as primary holders of sovereign debt. The model shows that sovereign exposure amplifies the negative effects on credit supply, lowering investment and capital formation. A counterfactual scenario without bank-held sovereign bonds isolates the contribution of the balance sheet channel: removing this channel weakens the crowding-out effect, with investment falling 0.2 percentage points less and output increasing by 0.02 percentage points more. These effects appear stronger during the financial and sovereign debt crises."
"Miriam Juárez-Torres & Jesús Arellano-González & Benjamín Contreras-Astiazarán, 2025.
 """,2025.,The effect of avian influenza outbreaks on table-egg prices: evidence from the Mexican market,"2025-11, Banco de México.","This paper investigates the effect of Highly Pathogenic Avian Influenza (HPAI) outbreaks on table-egg prices in Mexico. The analysis relies on monthly panel data of the price index of table eggs at the city level linked to records of HPAI outbreaks occurred in producing municipalities. Our findings suggest that exposure to an average HPAI outbreak immediately increases the price of table eggs by 1.5% relative to the price that would be observed in a scenario without HPAI. Exposure to HPAI outbreaks also has lagged effects. The highest increase (4.8%) is observed two months after the outbreak. Afterwards, the effect decreases and vanishes by the seventh month. Our results also suggest that the impact of HPAI outbreaks on the price of table eggs has decreased over time mainly due to a lower frequency and intensity of HPAI outbreaks possibly associated with an increased efficiency of the protocols of prevention, surveillance, control and eradication of HPAI outbreaks."
"Anna D. Mata & Héctor M. Núñez, 2025.
 """,2025.,Energy Efficiency and Mitigation of Greenhouse Gas Emissions in Mexico's Manufacturing Sector,"2025-10, Banco de México.","This study examines the energy efficiency and environmental performance of Mexico's manufacturing sector across regions. We employ a Data Envelopment Analysis model that optimizes the weighted output-input ratio for each decision-making unit. Specifically, a non-radial directional distance function model is used to account for both desirable outputs and undesirable outputs, represented by greenhouse gas emissions. The findings show that including undesirable outputs reduces the estimated economic efficiency. Over the analysis period, the production frontier shifted only modestly. Regionally, northern states perform best, while southern states lag behind, revealing considerable potential for national energy and emission savings."
"David Bernal & Gustavo A. García & Jorge Pérez Pérez, 2025.
 """,2025.,"Better or worse job accessibility? Understanding changes in spatial mismatch: evidence from Medellín, Colombia","2025-09, Banco de México.","We propose a methodology to calculate the mismatch between places of work and places of residence that incorporates monetary and opportunity transportation costs while correcting for possible overestimation of job accessibility. This methodology enables the analysis of spatiotemporal changes in spatial mismatch without discarding data from spatial units that change over time. We apply the methodology to measure spatial mismatch in Medellín, Colombia, for public and private transportation from 2012 to 2017. In line with previous work, our results indicate that including transportation and opportunity costs leads to a more realistic measure of job availability. Despite investments in public transportation and infrastructure, spatial mismatch in Medellín increased between 2012 and 2017. Our analysis shows that job accesibility through private transport decreased more than through public transport, and that the expansion of the latter in Medellín may have mitigated spatial mismatch."
"Marco A. Hernandez Vega & Eduardo Martínez González, 2025.
 """,2025.,Do climate policies incentivize firms to commit to setting a GHG emissions target?,"2025-08, Banco de México.","Since the 2016 Paris Agreement, countries and companies have been increasingly pressured to adopt appropriate response measures to climate change. However, it is not clear what factors drive firms to undertake climate change actions. Using a correlated random effects panel probit model, this paper contributes to the literature by analyzing the influence of advances in climate policies, as measured by the Climate Change Performance Index, on firms committing to set a greenhouse gas (GHG) emissions target. We find that advances in national climate policies are associated with a higher probability of firms committing, particularly for firms in the non-financial sectors and, among them, for those that do not belong to sectors considered as the largest producers of greenhouse gas (GHG) emissions. Lastly, the availability of funding for green projects, indirectly measured by the issuance of green bonds per country, also positively contributes to the probability of firms committing."
"Rocío Elizondo & Julio A. Carrillo, 2025.
 """,2025.,Comparison of Inflation Expectations from Surveys and Markets Across Different Horizons,"2025-07, Banco de México.","This paper compares inflation expectations from surveys and markets across different horizons for Mexico, between 2000 and 2024. The analysis evalues descriptive statistics, bias, efficiency, discrepancy, convergence level, and response to inflation surprises. The results suggest that both expectations are generally biased, with exception of short-term market expectations. The two types of expectations are inefficient as they include past forecast errors and do not seem to incorporate all available information. The discrepancy between the two types of expectations is negatively related to the short-term interest rate across all horizons and positively related to inflation, its quadratic change, and exchange rate volatility for some horizons. Short- and medium-term expectations respond to inflation surprises, while long-term expectations do not. Finally, their estimated convergence level is more stable and with lower levels when information from both types of expectations is combined."
