Author/s,Year,Title,ID,Abstract
"Andrew Coleman, 2023.
 """,2023.,"Housing quality improvement, property market dynamics, and sustainable house prices","DP2023/01, Reserve Bank of New Zealand.","This paper reviews the literature that examines the circumstances when house prices are likely to become unsustainable. It argues that there are 2 types of unsustainability: - The first type happens when there is a widespread increase in demand for better quality housing, or a rapid increase in population, which leads to a construction boom. Since the number of new houses typically built by the construction sector is much smaller than the stock of houses, the boom may run up against capacity constraints for several years during which time prices rise and then fall back to normal levels. This type of boom could be managed by a central bank but there would be other trade-offs to consider. - The second type of price unsustainability happens when there are technical or regulatory changes that reduce the usual cost of producing new houses. This type of unsustainability reflects supply factors and is typically outside the domain of the central bank. - The paper argues that the demand for better quality housing (which cannot be quickly met from new supply) is a major reason for unsustainable house prices, and a reason why house price cycles are often so different from price cycles in other industries."
"Guanyu Zheng & Gulnara Nolan & Christopher Ball & Siddharth Kothari & Yosuke Kido, 2022.
 """,2022.,What Matters for Job Finding and Separation in the long-run?,"DP2022/02, Reserve Bank of New Zealand.","This Discussion Paper analyses job finding rates and job separation rates in New Zealand. We find that individual characteristics, including age, gender, ethnicity and education have a significant impact on job finding and separation rates, even after controlling for other factors. Further, we find that higher separation rates of young workers play a large role in explaining differences in employment outcomes across age groups, while differences in finding rates are more important in explaining differences by education level. Both finding and separation rate differences are important in explaining differences across ethnicities. The results underscore the importance of well-targeted labour market support policies."
"Miguel C. Herculano, 2022.
 """,2022.,A monthly financial conditions index for New Zealand,"DP2022/01, Reserve Bank of New Zealand.","Financial conditions refer to the state of financial variables such as interest rates, share prices, house prices and exchange rates. If financial conditions in the economy are ‘loose’, they stimulate real economic activity, and if they are ‘tight’, economic activity is constrained. The implications of financial conditions for macroeconomic outcomes has motivated the development of financial conditions indices (FCIs) that summarise common movements in financial and macroeconomic data. In general, an FCI offers a gauge of how shifts in central bank policy and economic outlooks, including foreign financial condition shocks, are filtering out into the real world. A timely FCI would help the policy-maker assess, almost in real time, whether financial conditions in the economy are loose or tight. However, the development of a timely FCI is not a straightforward task because the data used to estimate it may be available at different frequencies – semi-annual or quarterly or weekly or daily intervals - and are also often incomplete. Financial data are available at ‘high frequencies’, that is, sometimes even at a daily or hourly frequency, but may be hampered by missing values. On the other hand, macroeconomic time series such as Gross Domestic Product, GDP, or household consumption are only available at quarterly frequencies. In this paper, Miguel Herculano constructs a monthly FCI for New Zealand, using novel estimation techniques that resolve problems posed by missing data, and also enable the use of data that are available at different time frequencies. Since the new FCI is timelier than other alternatives that are available only at a quarterly frequency, it makes it more appealing to policymakers. The new FCI summarises information from 73 relevant financial and macroeconomic variables that are available at either monthly or quarterly frequencies. Interest rate spreads and mortgage lending are found to be the most relevant contributors to the dynamics of the monthly FCI. Estimates suggest that changes in the FCI have exerted relatively stronger influences on the New Zealand business cycle in more recent years. The predictive content of the financial conditions index for forecasting GDP and unemployment is not explored in the current version of the paper and is left for future research. About the research programme The Reserve Bank carries out a wide range of research related to monetary policy. This research programme may or may not change our overall view of monetary policy- whether rates should be raised or cut and by how much. The Reserve Bank’s overarching aim is to promote the prosperity and well-being of all New Zealanders. With monetary policy, our core focus is to support full employment and low and stable inflation. Monetary policy remains an effective, but blunt, tool to achieve these goals"
"Joel Bank & Hamish Fitchett & Adam Gorajek & Benjamin Malin & Andrew Staib, 2021.
 """,2021.,Star Wars at Central Banks,"DP2021/01, Reserve Bank of New Zealand.","Researchers in economics often write stars (*) next to their results, to highlight which results pass conventional thresholds of certainty, or ‘statistical significance’. Researchers typically like showing starry results because they can improve perceptions about the value of a piece of work, broadening its influence. But are these stars always what they seem? In our paper we investigate whether researchers use improper methods to produce more starry results, something that we worry would foster exaggeration. For example, researchers often have to decide whether to delete suspicious-looking data points. Each deletion can change results, and the right choice is often subjective. So researchers have freedom to shape their results somewhat. If researchers use that freedom to favour starry results, their work will suffer from exaggeration. Others have also investigated this problem, focusing mostly on research published in academic journals. Their findings do suggest exaggeration and now there is growing support for lifting research standards. Still, our work is important because it is unclear whether the findings about journals apply to central banks. To investigate, we compile 2 decades of research results from the Federal Reserve Bank of Minneapolis, the Reserve Bank of Australia and the Reserve Bank of New Zealand. We then use 2 popular methods to detect exaggeration in the dataset. Both build on the observation that researchers start assigning stars at a human-made threshold of significance, whereas nature, which should dictate the true pattern of results, is indifferent to that threshold. So if the observed pattern of results shows anomalies at the starry threshold, we can be confident that the anomalies come from researchers. Most complex is the final step: figuring out whether the anomalies come from exaggeration or something else. Our findings are mixed. The first method shows no evidence of exaggeration but often misses exaggeration when it occurs. The second method shows some evidence of exaggeration but relies on strong assumptions. We test those assumptions and challenge their merit. At this point, all that is clear is that central banks produce results with patterns different from those in journals, there being less bunching at the starry threshold (see the figure below). The source of this difference remains a mystery."
"Adam Richardson & Thomas van Florenstein Mulder & Tugrul Vehbi, 2019.
 """,2019.,Nowcasting GDP using machine learning algorithms: A real-time assessment,"DP2019/03, Reserve Bank of New Zealand.","Can machine-learning algorithms help central banks understand the current state of the economy? Our results say yes! We contribute to the emerging literature on forecasting macroeconomic variables using machine-learning algorithms by testing the ‘nowcast’ performance of common algorithms in a full ‘real time’ setting. That is, with real-time vintages of New Zealand GDP growth (our target variable) and real-time vintages of around 600 predictors. Our results show machine-learning algorithms are able to significantly improve over standard models used in economics to nowcast macroeconomic variables. We also show machine-learning algorithms have the potential to improve the official forecasts of the Reserve Bank of New Zealand."
"Dean Hyslop & Amy Rice & Hayden Skilling, 2019.
 """,2019.,"Understanding labour market developments in New Zealand, 1986-2017","DP2019/02, Reserve Bank of New Zealand.","In this paper we document longer-term trends in the New Zealand labour market using unit-record data from the Household Labour Force Survey (HLFS) and HLFS-Income Supplement. We focus on analysing the factors behind the large increases in labour force participation over 1986-2017, as well as on decomposing wage growth into contributions from continuing workers versus compositional effects associated with flows into and out of employment. New Zealand’s aggregate labour force participation rate has steadily trended up since 1993, despite an aging population. The dampening effect from population aging has been more than offset by increasing participation among older workers, with the participation rate of those aged 55 and over increasing from around 20 percent to 50 percent. We find that increased participation among prime-age females also contributed significantly to the increase in aggregate labour force participation. Further, rising levels of education over time are estimated to have boosted participation across demographics. Inflation adjusted wages grew by about 1.5 percent annually on average over the period from 1997 to 2015. Net employment growth over the period has tended to restrict average wage growth. Average wage growth has been lower since 2008 than before, suggesting weaker economy-wide wage pressure. This is mainly due to lower wage growth among continuing workers rather than compositional changes in employment, perhaps due to firms cutting costs and loss of worker bargaining power."
"Mairead de Roiste & Apostolos Fasianos & Robert Kirkby & Fang Yao, 2019.
 """,2019.,Household Leverage and Asymmetric Housing Wealth Effects- Evidence from New Zealand,"DP2019/01, Reserve Bank of New Zealand.","The Global Financial Crisis (GFC) in 2008/09 highlighted the impact that household debt and leverage have on consumption, above and beyond the important role of wealth emphasized by classical theories of consumer behaviour (Fisher, 1930; Modigliani and Brumberg, 1954; Friedman, 1957). In this paper, we study the role of household indebtedness in transmitting housing wealth shocks to consumption empirically. Housing wealth and mortgage leverage take center stage of the recent literature on consumption partly because housing wealth accounts for the lion’s share of household wealth in most advanced economies and partly because of the prominent role played by house price dynamics and mortgage debt accumulation in the years preceding the Great Recession. We use microdata from New Zealand Household Economic Survey (HES) to study the housing wealth effect on consumption while controlling for household leverage. House price dynamics in New Zealand represent an interesting contrast to the US: While the US economy experienced a severe housing market downturn after the GFC, house prices and household leverage in New Zealand have been persistently rising over the last decade. Empirical studies focusing on this period for the US show that household leverage amplified the housing wealth effect on consumption through the collateral channel (Kiyotaki and Moore, 1997 and Iacoviello, 2005). Our main empirical finding is that, on average, the elasticity of the consumption growth to housing price changes is 0.22%. This corresponds to 3 cents out of one dollar in terms of marginal propensity of consume out of housing wealth. In addition, we find that the housing wealth effect is asymmetric with respect to positive and negative housing wealth shocks. The housing wealth elasticity is 0.23 for negative shocks, as compared to 0.13 in response to positive changes in housing wealth. We contribute the asymmetric housing wealth effect to the influence of household indebtedness. The intuition of the finding is that leveraged gains might mostly be used to pay down debt (precautionary saving effect), whereas leveraged losses have a more direct bearing on consumption (collateral effect). This finding is based on further investigating the role played by household indebtedness in accounting for the asymmetric housing wealth effect. First, we find that, on average, measures of indebtedness negatively impact on the consumption growth. When we separate positive and negative housing wealth shocks, we find evidence showing that the collateral effect is significant only with negative shocks, while the precautionary saving effect is significant only with positive housing wealth shocks. This empirical finding implies that the precautionary savings effect and the collateral effect work in the different phases of housing cycles. In a housing boom the precautionary savings motive dominates and high leverage weakens the reaction of consumption spending to housing wealth increases. In a housing downturn the collateral channel dominates and high leverage strengthens the reaction of consumption to housing wealth decreases. In another words, the household leverage reinforces the housing wealth effect in a bust, but dampens the housing wealth effect in a boom. The asymmetric transmission mechanism through household indebtedness explains the asymmetric housing wealth effect that we find in the data without controlling leverage explicitly."
"Martin Berka & Daan Steenkamp, 2018.
 """,2018.,Deviations in real exchange rate levels in the OECD countries and their structural determinants,"DP2018/08, Reserve Bank of New Zealand.","The most commonly used theoretical framework describing why prices in some countries are higher than in others (i.e. explaining deviations from purchasing power parity) is the Balassa-Samuelson model. The Balassa-Samuelson model implies that stronger productivity growth should tend to cause a country's real exchange rate to appreciate. This paper develops measures of productivity and real exchange rate levels across industries and countries to allow the Balassa-Samuelson hypothesis to be tested. We show that the model finds empirical support in 17 OECD economies: there is a link between real exchanges and sectoral productivity levels both across countries and over time. We then show theoretically and empirically that relaxing the model's assumptions about wage determination and the role of labour market differences across sectors and countries helps improve the performance of the model. However, there remains large unexplained deviations in real exchange rates across countries that the model cannot account for."
"Christie Smith & Christoph Thoenissen, 2018.
 """,2018.,Migration and Business Cycle Dynamics,"DP2018/07, Reserve Bank of New Zealand.","We examine the business cycle effects that arise from an expansion of the population due to migration. We identify the contribution that migration shocks make to cyclical fluctuations, and illustrate their dynamic impact. The analysis presented here is conducted in per capita terms. We develop a dynamic stochastic general equilibrium (DSGE) model to explore the consequences of migration. Households consume foreign- and domestically-produced goods, and housing. Domestically-produced goods are produced using effective labour and physical capital, where effective labour is a composite of physical labour and human capital. The level of human capital is particularly important for the dynamics of the migration shock as it amplifies the labour supply impact of a migration impulse. The model also embodies other frictions. Physical capital, for example, has a variable utilisation rate and adjusting the stock of capital is costly. Variable utilisation and capital adjustment costs are important for the dynamics of shocks. Variable utilisation provides an extra margin of adjustment in response to a shock, while capital adjustment costs serve to slow the propagation of shocks to investment. The model has three stocks of capital: physical capital; housing; and human capital. A migration inflow erodes the per capita stock of physical and housing capital, but the effect on the stock of human capital is ambiguous because migrants may have more or less human capital than domestic residents. The stock of migrant human capital relative to local resident human capital has a material impact on the dynamics of the migration impulse and on the contribution that migrant shocks make to business cycle fluctuations. Using the estimated DSGE model, we show that migration shocks account for a considerable portion of the variability of per capita gross domestic product (GDP). While migration shocks matter for the capital investment and consumption components of per capita GDP, there are other drivers of cyclical fluctuations in these expenditure components that are even more important. Migration shocks also matter for residential investment and real house prices, but once again other shocks play a larger role in driving volatility. In the DSGE model, the level of human capital possessed by migrants relative to that of locals materially affects the business cycle impact of migration. The impact of migration shocks is larger when migrants have substantially different – larger or smaller – levels of human capital relative to locals. When the average migrant has higher levels of human capital than locals, as seems to be common in most OECD economies, a migration shock has an expansionary effect on per capita GDP and its components, which also accords with the evidence from a restricted structural vector autoregression."
"Karam Shaar & Fang Yao, 2018.
 """,2018.,Housing Leverage and Consumption Expenditure - Evidence from New Zealand Microdata,"DP2018/06, Reserve Bank of New Zealand.","Understanding household consumption spending is crucial for modelling business cycles and designing macroeconomic policy. This paper investigates how household debt affects the marginal propensity to consume out of housing wealth. We use microdata from Statistics New Zealand’s ""Household Economic Survey"" (HES) to investigate how household leverage affects the marginal propensity to consume (MPC) out of housing wealth. HES data provide detailed information on household spending, income and loans. Empirically, estimating the effect of housing wealth changes on household expenditure faces two types of endogeneity issues. First, any evidence of an association between housing wealth variations and consumption changes could be driven by unobservable confounding factors such as future income expectations or household preferences. Second, naive regressions with total household spending can suffer from reversed causality, in which high housing-related spending leads to higher property values. We combine HES data with Real Estate Institute of New Zealand (REINZ) micro house price data to address the endogeneity issues that arise from using household-level cross-sectional data. In the empirical analysis, we first assess the validity of average local house prices as an instrument for individual house prices. The first stage regression suggests that the instrument can explain up to 22 percent of the variation in individual house prices reported in HES. We then run a benchmark regression of total household expenditure excluding housing-related spending on housing wealth. The IV estimation suggests that using household-level prices leads to downward bias, which is the result of various causes of endogeneity issues discussed above. The average MPC out of a one-dollar increase in exogenous housing wealth is around 2.2 cents. All regressions control for income, household characteristics, and regional and time fixed effects. We also split non-housing expenditure into durables and non-durables. In line with other studies in the literature, we find that durable consumption is more sensitive to changes in housing wealth than non-durables. We then focus on the role of household leverage in determining the MPC out of housing wealth. In this analysis, we study how leverage measures, such as the loan-to-house-value ratio (LVR) and the DTI, affect the estimated MPC out of housing wealth. Overall, we find that household leverage weakens the MPC associated with housing. To examine the robustness of these findings, we investigate whether household spending responds differently depending on the age and type 5 of home ownership. The findings confirm that the consumption of mortgagors is less sensitive to housing wealth as compared to outright homeowners. The regression with an age-housing wealth interaction also shows that the response of younger households to changes in their housing wealth is weaker than the response of older households, which tend to be less leveraged."
