Author/s,Year,Title,ID,Abstract
"David Berger & Kyle Herkenhoff & Andreas R. Kostol & Simon Mongey, 2023.
 """,2023.,"An anatomy of monopsony : Search frictions, amenities and bargaining in concentrated markets","2023/10, Norges Bank.","We contribute a theory in which three channels interact to determine the degree of monopsony power and therefore the markdown of a worker’s spot wage relative to her marginal product: (1) heterogeneity in worker-firm-specific preferences (non-wage amenities), (2) firm granularity, and (3) off- and on-the-job search frictions. We use Norwegian data to discipline each channel and then reproduce new reduced-form empirical relationships between market concentration, job flows, wages and wage inequality. In doing so we provide a novel method for clustering occupations into local labor markets. Our main exercise quantifies the contribution of each channel to income inequality and wage markdowns. The average markdown is 21 percent in our baseline estimation. Removing nonwage amenity dispersion narrows them by a third. Giving the next-lowest-ranked competitor a seat at the bargaining table narrows them by half, suggesting that granularity and strategic interactions in the bargaining process is an important source of markdowns. Removing search frictions narrows them by two-thirds. Each counterfactual reduces wage inequality and increases welfare."
"Dimitris Korobilis & Maximilian Schröder, 2023.
 """,2023.,Monitoring multicountry macroeconomic risk,"2023/9, Norges Bank.","We propose a multicountry quantile factor augmeneted vector autoregression (QFAVAR) to model heterogeneities both across countries and across characteristics of the distributions of macroeconomic time series. The presence of quantile factors allows for summarizing these two heterogeneities in a parsimonious way. We develop two algorithms for posterior inference that feature varying level of trade-off between estimation precision and computational speed. Using monthly data for the euro area, we establish the good empirical properties of the QFAVAR as a tool for assessing the e ects of global shocks on country-level macroeconomic risks. In particular, QFAVAR short-run tail forecasts are more accurate compared to a FAVAR with symmetric Gaussian errors, as well as univariate quantile autoregressions that ignore comovements among quantiles of macroeconomic variables. We also illustrate how quantile impulse response functions and quantile connectedness measures, resulting from the new model, can be used to implemennt joint risk scenario analysis."
"Q. Farooq Akram & Jon H. Findreng & Lyndsie Smith, 2023.
 """,2023.,The Norwegian overnight interbank market during the Covid pandemic,"2023/8, Norges Bank.","We analyse the behaviour of the Norwegian unsecured overnight interbank market in response to heightened uncertainty and the central bank's liquidity support measures following the Covid-19 pandemic. The liquidity measures enabled banks to fulfil their liquidity needs primarily through participation in extraordinary liquidity auctions. The distribution of central bank reserves across banks did not change due to these measures, but interbank trading fell sharply. Ample liquidity support through the auctions and low interbank trading contributed to low and overly stable overnight rates. Actually, throughout our sample period from 2017 to 2021, the overnight rates remained largely unaffected by fluctuations in uncertainty and overall liquidity conditions."
"Sven Klingler & Olav Syrstad, 2023.
 """,2023.,Does SOFR-linked debt cost borrowers more than LIBOR-linked debt?,"2023/7, Norges Bank.","We investigate if the benchmark transition from London Interbank Offered Rate (Libor) to Secured Overnight Financing Rate (SOFR) affects the costs of borrowing floating rate debt. The primary market for dollar-denominated floating rate notes (FRNs) provides an ideal laboratory to study these e ects. Comparing the spreads of FRNs linked to LIBOR and SOFR, issued by the same entity during the same month, we find a significantly lower yield spread for SOFR-linked debt after adjusting for the maturity-matched spreads from the swap market. In addition, despite identification challenges, we observe a quantitatively similar pattern in the syndicated loan market."
"Jin Cao & Valeriya Dinger & Ragnar E. Juelsrud & Karolis Liaudinskas, 2023.
 """,2023.,Trade conflicts and credit supply spillovers : Evidence from the Nobel Peace Prize trade shock,"2023/6, Norges Bank.","In this paper, we examine how a trade conflict’s impact on the real economy can be amplified by financial intermediaries. After China’s implicit ban on the imports of Norwegian salmon in response to the decision on 2010 Nobel Peace Prize, we find that banks that are highly exposed to the salmon industry cut back lending to non-salmon firms and households by 3-6 percent more than other banks. Furthermore, we find that the reduction in lending was not driven by the erosion of bank capital, but rather by the shift in expectations about the performance of loans to salmon producers, which drove highly exposed banks to increase their loan loss provisions and reduce risk-taking."
"Jin Cao & Torje Hegna & Martin B. Holm & Ragnar Juelsrud & Tobias König & Mikkel Riiser, 2023.
 """,2023.,The Investment Channel of Monetary Policy : Evidence from Norway,"2023/5, Norges Bank.","We investigate the transmission of monetary policy to investment using Norwegian administrative data. We have two main findings. First, financially constrained firms are more responsive to monetary policy, but the effect is modest; suggesting that firm heterogeneity plays a minor role in monetary transmission. Second, we disentangle the investment channel of monetary policy into direct effects from interest rate changes and indirect general equilibrium effects. We find that the investment channel of monetary policy is due almost exclusively to direct effects. The two results imply that a representative firm framework with investment adjustment frictions in most cases provides a sufficiently detailed description of the investment channel of monetary policy."
"Vegard Høghaug Larsen & Nicolò Maffei-Faccioli & Laura Pagenhardt, 2023.
 """,2023.,Where do they care? : The ECB in the media and inflation expectations,"2023/4, Norges Bank.","This paper examines how news coverage of the European Central Bank (ECB) affects consumer inflation expectations in the four largest euro area countries. Utilizing a unique dataset of multilingual European news articles, we measure the impact of ECB-related inflation news on inflation expectations. Our results indicate that German and Italian consumers are more attentive to this news, whereas in Spain and France, we observe no significant response. The research underscores the role of national media in disseminating ECB messages and the diverse reactions among consumers in different euro area countries."
"Mario Forni & Luca Gambetti & Nicolò Maffei-Faccioli & Luca Sala, 2023.
 """,2023.,The impact of financial shocks on the forecast distribution of output and inflation,"2023/3, Norges Bank.","Financial shocks represent a major driver of fluctuations in tail risk, defined as the 5th percentile of the forecast distributions of output and inflation. Since the variance and the asymmetry of the forecast distributions are largely driven by the left tail, financial shocks turn out to play a prominent role for distribution dynamics. Monetary policy shocks also play a role in shaping risk, although its effects are smaller than those of financial shocks. These findings are obtained using a novel econometric approach which combines quantile regressions and Structural VARs."
"Solveig K. Erlandsen & Ragnar Enger Juelsrud, 2023.
 """,2023.,Downward nominal house price rigidity: Evidence from three centuries of data on housing transactions,"2023/1, Norges Bank.","By analyzing housing data from the period 1850 to 2019 in Norway, we find evidence of downward nominal house price rigidity. More specifically, we document that there is a marked fraction of repeat-sales housing transactions with a zero nominal price change and show that this fraction increases in housing market downturns. While the former result reveals a rigidity in nominal house prices, the latter suggests that the direction of it is predominantly downward."
"Drago Bergholt & Øistein Røisland & Tommy Sveen & Ragnar Torvik, 2022.
 """,2022.,Monetary policy when export revenues drop,"2022/11, Norges Bank.","We study how monetary policy should respond to shocks which permanently alter the steady state structure of the economy. In such a case monetary policy affects not only the short run misallocations due to nominal rigidities, but also relative prices which stimulate reallocation of capital. We consider a permanent and negative shock to export revenues that requires a larger traded sector and a smaller non-traded sector in the new steady state. This reallocation calls for a change in relative prices during the transition, but may also lead to a period of high unemployment. We show how an appropriate monetary policy could mitigate the welfare costs of the transition by allowing the exchange rate to depreciate, and thereby allowing inflation to increase in the short run. Traditional monetary policy regimes, such as inflation targeting or a fixed exchange rate, would imply high unemployment and inefficiently slow transition. Stabilizing nominal wage growth, in contrast, would be close to the welfare-optimal monetary policy."
