Author/s,Year,Title,ID,Abstract
"John Aguirre & Alan Ledesma & Fernando Perez & Youel Rojas, 2025.
 """,2025.,"Economic Activity, Inflation, and Monetary Policy after Extreme Weather Events: ENSO and its Economic Impact on the Peruvian Economy","2025-008, Banco Central de Reserva del Perú.","This paper studies how El Niño Costero, a large climatic event, generates physical risks disrupting business cycles and hindering the effectiveness of monetary policy. Using Peruvian data, we find consistent empirical evidence that El Niño shocks leave a footprint on the economy akin to a supply-side shock: it exerts inflationary pressures while simultaneously contracting GDP. The effects are very persistent and reflect the differentiated effects across sectors in the economy. Primary sectors response is more immediate and larger but only in the short term. Conversely, nonprimary sectors experience lagged effects that become considerably more persistent and important later on. We integrate these empirical findings into a semi-structural model that incorporates five non-linear transmission channels through which El Niño affects the economy. These non-linearities present a challenge for monetary policy design, as the economic uncertainty and the cost in stabilizing the economy depends on the frequency of El Ni˜no events. Faced with such large-scale shocks, hawkish conventional monetary policy remains a relevant, though limited, tool for stabilizing inflation dynamics."
"Viktoria Vidahazy & Gerald Alex Cisneros Rojas & Alvaro Alejandro Hinostroza Lamilla, 2025.
 """,2025.,Financial Institutions and Climate Shocks: Pre-emptive vs. Reactive Lending Adjustments in the Case of El Niño,"2025-007, Banco Central de Reserva del Perú.","Financial institutions are increasingly exposed to climate change through their balance sheets. Nonetheless, the way in which they process climate information remains poorly understood. This paper examines whether financial institutions respond reactively to natural disasters or pre-emptively to climate forecasts, using Peruvian credit registry data. Relying on revisions to El Ni˜no probability forecasts as an exogenous climate news shock, we find that financial institutions engage in forward-looking risk management during El Ni˜no episodes. Specifically, a 10-percentage-point revision increases credit growth by 0.5 basis points, compared to the typical 6 basis points of month-to-month credit growth changes. In addition, the same forecast revision increases bank capitalisation by over 1 percentage point, compared to the average capital position of 18%. The increased lending amounts to 54 million soles per month, equivalent to 6.5% of new loans issued nationwide each month. These pre-emptive adjustments occur in response to forecast revisions alone, independent of actual disasters."
"Arturo Andia & Jose Aurazo & Marcelo Paliza, 2025.
 """,2025.,Adoption and welfare effects of payment innovations: The case of digital wallets in Peru,"2025-006, Banco Central de Reserva del Perú.","Digital wallets like Yape and Plin have gained widespread popularity in Peru, allowing users to make instant payments through quick response (QR) codes or mobile phone numbers. This paper examines the drivers of their adoption and their impact on everyday life. Using market share data for six digital payment instruments and cash from January 2019 to April 2024, we estimate the demand for payment instruments and find that features such as lower fees, 24/7 immediate payments, QR code payments, and interoperability with point-of-sale (POS) terminals are key to their success. Our estimates suggest that a PEN 0.01 (USD 0.003) increase in payer fees would reduce the market share of the digital wallets by 0.31 percentage points (pp), while debit cards and cash would gain usage. Simulations further indicate that removing 24/7 immediate transfers would reduce digital wallet usage by 15.75 pp, discontinuing POS payments by 26.01 pp, and eliminating QR code functionality by 4.45 pp. Furthermore, our findings suggest that the adoption of digital wallets has contributed to a sustained increase in consumer welfare among banked individuals over time."
"José Aguilar & Romina Garibay & Ricardo Quineche, 2025.
 """,2025.,¿La Inflación en el Perú Presenta una Dinámica Asimétrica?: Un Enfoque Cuantílico,"2025-005, Banco Central de Reserva del Perú.","En este artículo se analiza la dinámica de la inflación total, sin alimentos y energía (SAE) y de la variación de los precios de alimentos y energía (AE) en el Perú mediante el uso de un enfoque de autorregresión cuantílica. Este método permite identificar posibles asimetrías en la reversión de la inflación a su nivel de largo plazo, dependiendo del cuantil de su distribución, asociado al tamaño y signo del choque experimentado. Los resultados muestran que tanto el signo como la magnitud del choque influyen significativamente en la velocidad con la que la inflación total, SAE y AE se ajustan a su nivel de equilibrio de largo plazo: en cuantiles bajos se observan choques negativos de inflación, que son menos persistentes, mientras que en cuantiles altos se observan choques positivos de inflación, que son más persistentes. Al considerar el inicio de la aplicación del esquema de metas explícitas de inflación, la persistencia de la inflación se reduce en todos los cuantiles, evidenciando la efectividad de la política monetaria."
"Jhonatan Vicuña & Maria Fe García & Renzo Castellares, 2025.
 """,2025.,Natural events in Peru: A multidimensional analysis,"2025-004, Banco Central de Reserva del Perú.","Natural hazard events are occurring at an increasing rate worldwide, posing significant challenges for Peru. Using data from the National Institute of Civil Defense (INDECI), this study describes the spatial and temporal evolution of natural events in Peru from 2003 to 2023. We examine the frequency and distribution of these events in Peru’s territory and describe its impact on affected and displaced populations, relative to local and national populations. The descriptive analysis suggests that extreme precipitations represent the greatest risk for Peruvian households given their high frequency and geographic distribution, while low temperatures also show a significant capacity to affect the population. We introduce a multidimensional metric to identify the provinces most prone to experiencing natural events, located primarily in the southern Andes and the high jungle regions. We also compare this method for identifying the most affected areas with household reports of experiencing natural disasters, using data from Peru’s National Household Survey (ENAHO). Our findings reveal a direct relationship between the frequency and intensity of natural events in the district of residence and the probability that a household reports experiencing this type of shock."
"Milton Vega & Elmer Sánchez & Arturo Andia, 2025.
 """,2025.,Diseño e Implementación del Piloto de CBDC Minorista en Perú,"2025-003, Banco Central de Reserva del Perú.","Este artículo analiza el programa piloto de Dinero Digital del Banco Central (CBDC, por sus siglas en inglés) del Banco Central de Reserva del Perú (BCRP), cuyo objetivo es obtener información para evaluar el CBDC minorista como instrumento para promover la adopción y el uso de pagos digitales, especialmente en zonas con baja inclusión financiera. El documento muestra cómo el BCRP desarrolló un enfoque por fases —que abarca la investigación y validación de supuestos— con asistencia técnica del Fondo Monetario Internacional. El diseño del piloto se basa en un modelo híbrido donde el sector privado proporciona servicios y tiene la relación con los usuarios finales, mientras que el banco central garantiza la emisión, gobernanza y supervisión. Una característica clave de este piloto es su funcionalidad de pagos fuera de línea, facilitada a través de una empresa de telecomunicaciones que opera en zonas remotas fuera del alcance de los sistemas financieros tradicionales. Esta funcionalidad responde al hecho de que muchas personas en áreas rurales no tienen acceso a teléfonos inteligentes. El artículo destaca el diseño cuasiexperimental del piloto, que utiliza promociones de marketing aleatorias a nivel distrital para evaluar el impacto en la adopción de pagos digitales y la sustitución del efectivo, entre otras variables. El documento ofrece un ejemplo de un enfoque práctico que permite a los bancos centrales obtener información para evaluar el potencial del dinero digital para promover el acceso y uso de los pagos digitales, así como para generar mejoras en el bienestar en regiones con baja inclusión financiera."
"Céspedes-Reynaga, Nikita & Gonzales-Berrocal, Lesly, 2025.
 """,2025.,El Programa Reactiva y sus efectos reales en las empresas peruanas,"2025-002, Banco Central de Reserva del Perú.","El programa de garantía crediticia estatal Reactiva Perú se enmarca dentro de un conjunto de iniciativas internacionales diseñadas para mitigar los efectos económicos negativos de la pandemia de COVID-19, asegurando la continuidad de la cadena de pagos empresarial. Según la literatura existente, este programa ha generado impactos significativos tanto a nivel macroeconómico como microeconómico en el Perú. En este estudio, se utilizan datos administrativos de cobertura nacional, que abarcan la totalidad de las empresas formales del país, para evaluar los efectos directos del programa en el empleo, los salarios, las ventas y la utilidad operativa de las empresas. Adicionalmente, se analizan los efectos indirectos en la producción, la productividad y la inversión. Este enfoque representa un avance metodológico, ya que emplea datos administrativos detallados y una estrategia de identificación basada en un modelo de doble diferencia. Los resultados del análisis muestran que Reactiva tuvo efectos positivos en el empleo, los salarios, las ventas, las utilidades operativas, la producción y la inversión. En términos generales, los impactos del programa son más pronunciados entre las empresas de menor tamaño, lo que es consistente con el diseño del programa. Asimismo, se identifica que los efectos fueron mayores en sectores más afectados por la pandemia, como comercio, servicios y transporte, donde predominan las empresas pequeñas."
"Acurio, Balila & Tomarchio, Alessandro, 2025.
 """,2025.,The Effects of Business Credit Support Programs: Evidence from a Regression Discontinuity Design,"2025-001, Banco Central de Reserva del Perú.","Government-backed business loan programs have commonly been used as a policy tool for mitigating the impact of adverse scenarios such as the recent pandemic. However, the effects of these policies on micro, small and medium enterprises remain unclear, particularly in developing countries. Using firm-level data and a Fuzzy Regression Discontinuity Design, we study the impact of a large credit support program deployed in Peru in 2020 (Reactiva Peru). We examine real outcomes such as employment, sales, and survival rates. We find a positive and significant effect of Reactiva loans on the number of employees; this effect continues to linger three years after the pandemic."
"Christian Velasquez, 2024.
 """,2024.,Terms of Trade and Small Open Economies Business Cycles: The role of Global Shocks,"2024-024, Banco Central de Reserva del Perú.","This paper proposes a new identification strategy to disentangle terms of trade movements due to global factors (global shocks) from country-specific fluctuations. This method is then applied to data on ten small open economies (SOEs) to show that global shocks contribute 33 percent of SOE business cycle. In contrast, idiosyncratic innovations account for around 80 percent of terms-of-trade volatility but are responsible for less than 10 percent of business cycle variability. The estimates suggest that developed economies are less sensitive to global shocks compared to emerging markets. The results help to reconcile current estimates on the importance of terms of trade for SOEs."
"Nikita Céspedes-Reynaga, 2024.
 """,2024.,Work from home and labor market outcomes in developing economies,"2024-023, Banco Central de Reserva del Perú.","Work from Home (WFH) has emerged as one of the most significant changes in the global labor market due to the pandemic. The substantial macroeconomic impact of this shift, along with the notable differences from traditional Office Working (OW)-particularly in terms of costs and commute time-warrants a comprehensive analysis of its effects on labor market outcomes. This paper presents a formal model that elucidates the impact of transitioning from OW to WFH on both consumption and working hours. The model predicts that, with the shift to WFH, both working hours and consumption increases. Empirical evidence from Peru indicates that workers who transition from OW to WFH work an additional 2,3 hours per week, see an 8,6% increase in income from their primary job, and experience a 6,5% reduction in per capita consumption. This decline in consumption is attributed to stringent government-imposed confinement measures, which have outweighed the positive effects of remote work. Supporting this hypothesis, higher income quintiles-where consumption restrictions have been less severe-have either experienced increased consumption or only minimal impact, suggesting that WFH has enabled consumption smoothing within these groups. Additionally, the effects of WFH vary depending on the gender of the workers."
