Author/s,Year,Title,ID,Abstract
"Dmitry Aldokhin & Anton Belyakov, 2025.
 """,2025.,On equilibria in the model of deposit markets with exogenous switching costs of depositors,"wps151, Bank of Russia.","We model the deposit market, where commercial banks compete using deposit interest rates, and depositors initially distributed among banks, when switching to another bank, bear the exogenous switching costs associated with a lack of information and money transfer fee. We consider both discrete and continuous distribution of depositors over switching costs and find equilibria in pure strategies. The theoretical model in hand allows us to explain the empirically observed negative relation between the size of a bank and its weighted average deposit rate. We show that this dependence may be the result of the history of the banking market formation. Initially, established banks could manage to obtain a majority of depositors with high switching costs, while depositors with low costs could be lost to newly emerging banks. Because of this, previously established banks can set lower deposit rates without fear that their depositors will switch to competitors, and maintain a large share of all depositors in the market. It follows from the analysis that the division of large banks into smaller ones will not lead to an increase in their deposit interest rates, but on the contrary, may even increase discrimination against depositors with high transition costs. It is the reduction of depositorsâ€™ switching costs that makes banks to raise deposit rates and thus increase public welfare."
"Anna Burova & Tatiana Grishina & Natalia Makhankova, 2024.
 """,2024.,Measurement of auxiliary indicators of aggregate interest rates on loans to non-financial organisations,"wps137, Bank of Russia.","Currently newly issued loans with fixed rates, excluding loans to affiliates, are used to calculate Russian loan aggregates of interest rates on loans to non-financial organisations, which is generally in line with international practice. The structure of loans is evolving over times, the share of loans with floating interest rates is increasing. Data on the volumes and rates of such loans can be valuable for analysing and forecasting economic trends. This paper looks at approaches to calculating weighted average interest rates on loans to Russian companies with the division of loans for analytical purposes into separate lending segments: by rate type (fixed and floating), affiliation type, and the time of rate-setting relative to the moment of disbursement of funds. We assess the amplitude of variation between the rates calculated using different approaches. The use of a wider range of aggregates can be used for analytical and research purposes to assess changes in certain types of interest rates, as well as to clarify the effect of the interest rate channel of the monetary policy transmission mechanism."
"Tatyana Shelovanova & Andrey Sinyakov, 2024.
 """,2024.,Financial literacy and responsible financial behaviour of Russian households,"wps132, Bank of Russia.","Data of the All-Russian Survey of Consumer Finances for 2020 and 2022 are used to analyse the relationship between financial literacy and responsible financial behaviour indices. Responsible financial behaviour involves consumption smoothing, asset diversification, nonspeculative investments and a low/moderate debt burden, acquisition of information for decisionmaking, the appropriate perception of macroeconomic trends, the absence of naive decisions and confidence about the future. The role of financial literacy is controlled by including educational indicators, financial experience, personal preferences (risk tolerance, planning horizon / future discounting, overconfidence, optimism) and a large number of standard control variables. The results show a positive relationship between financial literacy and overall responsible financial behaviour. Our analysis of the aggregate indicatorâ€™s components lead us to conclude that improved financial literacy at the individual level can help smooth out consumption (through diversification of savings) and, at the macroeconomic level, help development the economy and financial market instruments. In general, financial literacy fails to guarantee confidence in state pension initiatives and does not ensure a less risky investment profile or a lower debt burden."
"Elena Deryugina & Andrey Leonidov & Alexey Ponomarenko & Stanislav Radionov & Ekaterina Vasilyeva, 2024.
 """,2024.,Network structure of the economy and the propagation of monetary shocks,"wps130, Bank of Russia.","We calibrate a network model and monetary shocks based on empirical data from inputoutput tables for the Russian economy. We examine various aspects of the propagation of monetary shocks, such as the dispersion of relative prices and the local peak values of the aggregated price index achieved during the convergence to the new equilibrium. We show that these developments depend significantly on the way new money is injected into the economy."
"Natalia Turdyeva, 2024.
 """,2024.,Russian Economic Transformation: Navigating Climate Policy and Trade Restrictions,"wps125, Bank of Russia.","We are considering the introduction of climate policy in Russia under conditions of quantitative export restrictions. We have enhanced the model employed in the article (Burova et al., 2023) by incorporating a mechanism for quantitative trade restrictions. We demonstrate that in the case of deterioration in external economic conditions, such as a decline in the prices of Russian exports, the significance of quantitative export restrictions becomes secondary. The reason is that at low export prices the optimal physical volume of exports only marginally exceeds or may even be less than the quantitative restrictions. Without unrestricted access to global green technologies, ambitious climate policy goals may become excessively costly in terms of economic impact. In the presented model, attempting to achieve a 70% reduction in CO2-equivalent emissions from the 2016 level, coupled with decreasing prices for Russian exports and quantitative trade restrictions, could result in a deviation of GDP in 2040 by 11% from the baseline scenario, which implies maintaining the current status quo in climate policy both in Russia and globally. A more economically viable approach seems to be a moderate climate policy: achieving a 36% reduction in emissions from combustion compared to the 2016 level results in a 4.7% downward deviation of real GDP in 2040 from the baseline scenario. Only 0.3% of this decrease is attributed to the impact of domestic climate policy through an emissions trading system. The remaining 4.4% is explained by the deterioration of external economic conditions, stemming from the climate policies of other countries and quantitative restrictions on Russian exports. In the absence of a proactive climate policy, the carbon intensity of Russian GDP rises, amplifying transitional and physical risks of addressing the consequences of climate change. Essential measures to mitigate these risks involve the promotion and development of green industries, particularly those oriented towards exports."
"Dmitrii Gornostaev & Natalia Makhankova & Petr Milyutin & Alexey Ponomarenko & Sergey Seleznev, 2024.
 """,2024.,Reconstructing the publication history of Russia’s GDP and its components,"wps124, Bank of Russia.","This paper presents a set of vintage data on Russian GDP and its components by the expenditure and production approaches. The dataset consists of revisions of nominal and real quarterly data for the period from December 2005 to the present. In addition to such data, the paper describes some properties of real and nominal GDP indicator revisions and its expenditure components, as well as the methodology for collecting historical indicators using the Wayback Machine, which enables data collection even in the absence of a saved history of their releases."
"Nadezhda Ivanova & Svetlana Popova & Konstantin Styrin, 2024.
 """,2024.,Bank Market Power and Monetary Policy Transmission: Evidence from Loan-Level Data,"wps123, Bank of Russia.","This paper asks the following questions. How does market structure reshape the transmission of monetary policy to bank lending? How are loan characteristics such as loan volume, maturity, lending rate, risk, and the extensive margin of lending affected? Is there a trade-off between financial stability and the strength of monetary transmission? We find that, on more concentrated markets, the effect of monetary policy on lending rate and risk taking is amplified whereas the effect on loan volume is muted. Our current findings may imply the existence of a trade-off between the strength of monetary policy transmission and financial stability, but are subject to further investigation."
"Mikhail Andreyev & Alyona Nelyubina, 2024.
 """,2024.,Energy transition scenarios in Russia: effects in macroeconomic general equilibrium model with rational expectations,"wps122, Bank of Russia.","We use a DSGE model for a hydrocarbon-rich country to examine the macroeconomic implications of scenarios that lead to an energy transition. Our findings show that the scenario of the fall in export revenues from brown energy sales is the least preferred for energy transition in terms of welfare loss, while the scenario of imposing higher taxes is more acceptable. The most favourable scenario leading to the smallest drop in public wealth and long-term growth in output and consumption involves the productivity incentives in the green energy sector. We also analyse the impact of mechanisms such as monetary policy inertia, the level of openness of the financial account, technological substitutability between brown and green energy. We found that news about the future implementation of green policies alone cannot trigger the energy transition. Investments become cleaner after the news announcement, but this barely increases green energy production."
"Henry Penikas, 2023.
 """,2023.,"Default correlation impact on the loan portfolio credit risk measurement for the ""green"" finance as an example","wps121, Bank of Russia.","Default correlation parameter has a material impact on the loan portfolio credit risk. Moreover, the impact is more complex than that of the default probability itself. Current study shows that the rise in default correlation can simultaneously lead to multi-directional changes in different types of risk-measures or focus on a single risk measure, but at different confidence levels. The cause for such dual impact lies in the often neglected rising impact of the default rate (DR) distribution bimodality. In general, we evidence that rise in default correlation produces a multiplicative effect of the probability of default (PD): risk measure declines for low PDs and rises for high PDs, but changes are non-proportionate for the same changes in default correlation. Similar effects, in particular, may arise when augmenting the proportion of ""green"" lending. Moreover, when such a trend is associated with the decline in PD for the ""green"" sector and PD rise for the ""brown"" one, there is an overall reduction in the loan portfolio credit risk in the long-run. However, it is witnessed only after its rise in the mid-term. The paper is accompanied with the relevant codes. They enables the interested parties to replicate the findings, as well as to derive credit risk parameters for any given DR time series and model a DR distribution for any set of distribution mixture parameters."
"Tatiana Shelovanova & Andrey Sinyakov, 2023.
 """,2023.,Probability of requesting unsecured loans:analysis of Russian household finances,"wps120, Bank of Russia.","Household spending usually accounts for about 70% of total spending in the economy. An important role in the financing of household spending play lending, and Russia is no exception. The aim of this research is to measure the elasticity of the loan request probability in relation to the interest rate with given inflation expectations. Our model is estimated using the unique data obtained from the All-Russian Survey of Consumer Finances, which contains information on more than 6000 households in Russia. We identify a set of Russian householdsâ€™ characteristics that are key drivers for householdsâ€™ requests for credit. The results show that growth in inflation expectations positively correlates with demand. It also takes a significant change in interest rates for the interest rate channel of monetary policy (with regard to unsecured loans) to make an impact. The model estimates we obtain are used in scenario forecasting to project the number of households requesting loans. According to a mid-point forecast by Rosstat, demand in terms of household count will be steady and boosted by the growth of the population of 18+ years of age. Even so, this growth is expected to be offset by a changing demographic structure. The results may be specific only to the period under study (2020â€“2022) and are not necessarily universal."
