Author/s,Year,Title,ID,Abstract
"Thanee Chaiwat, 2013.
 """,2013.,"Culture, Institutions and Long-run Growth (Thai version only)","2013-07, Monetary Policy Group, Bank of Thailand.",No abstract is available for this item.
"Deunden Nikomborirak, 2013.
 """,2013.,State Rules and Market Efficiency (Thai version only),"2013-06, Monetary Policy Group, Bank of Thailand.",No abstract is available for this item.
"Kobsak Pootrakool, 2013.
 """,2013.,Growth with Inequality: Challenges and Solutions (Thai version only),"2013-05, Monetary Policy Group, Bank of Thailand.",No abstract is available for this item.
"Jon wongswan & Pipat Luengnaruemitchai & Watcharida Boonthaveepat, 2013.
 """,2013.,Financial Development and Long-term Growth,"2013-04, Monetary Policy Group, Bank of Thailand.",No abstract is available for this item.
"Dilaka Lathapipat & Thitima Chucherd, 2013.
 """,2013.,Labour Market Functioning and Thailand's Competitiveness,"2013-03, Monetary Policy Group, Bank of Thailand.","This paper investings the functioning of the Thai labor market in regards to structural transformation and wage structure determination. It also aims to shed light on two puzzling pieces of evidence. These are (i) the observation of low and declining unemployment rates while recent firm surveys indicate and apparent lack of both the quality of labor supply, and (ii) the stagnant growth of educational real wages in the face of tightening .abor market. Using macro and micro-level dataset, the paper addresses the fundamental problems of the labor market and draws a set of policy recommendations for improving labor market efficiency and enhancing the country's competitiveness."
"Nakarin Amarase & Tosapol Apaitan & Kiatipong Ariyapruchya, 2013.
 """,2013.,Thailand's Quest for Economic Growth: From Factor Accumulation to Creative Destruction,"2013-02, Monetary Policy Group, Bank of Thailand.",No abstract is available for this item.
"Somsajee Siksamat & Saovanee Chantapong & Noppadol Buranathanung & Sukti Dasgupta & Ruttiya Bhula-or & Daungporn Rodpengsangkaha & Konwit Tunsri & Porngiad Yungyeen & Amonrat Jumnong & Siriporn Siripa, 2013.
 """,2013.,Thai labour market and its roles in strengthening the Thai Economy,"2013-01, Monetary Policy Group, Bank of Thailand.",No abstract is available for this item.
"Manop Udomkerdmongkol & Nuntawan Thiratanapong & Charnon Boonnuch, 2012.
 """,2012.,Choosing the Right Financial System for Growth,"2012-08, Monetary Policy Group, Bank of Thailand.","The purpose of this papar is to draw the structure of Thailand financial system to help achieve a future sustainable growth. This paper is divided into two sections, namely Macro and Micro Analysis. In the first part,the results from panel data regressions suggest that economic growth is associated with financial development. Financial development in terms of bank lending and market capitalization also creates capital growth and productivity. Going forward, bank and markets should be developed concurrently so as to provide a driving force for economic expansion."
"Pornpinun Chantapacdepong & Nuttathum Chutasripanich & Bovonvich Jindarak, 2012.
 """,2012.,Central Bank Balance Sheet and Policy Implications,"2012-07, Monetary Policy Group, Bank of Thailand.","Recently, weak central bank financial positions, especially of emerging economies, have brought into the public spotlight whether it will constrain or obstruct the policy implementation in the long run or not. The country case studies and statistical performance showed that the central bank capital erosion does not directly relate to the policy effectiveness, but it creates the vulnerabilities to the monetary policy process. The key factor helping achieve the policy objectives, even with the losses or negative capital is “central bank credibility”. The policy choices to reduce such vulnerabilities are also discussed in this paper."
"Wanvimol Sawangngoenyuang & Sukrita Sa-nguanpan & Worawut Sabborriboon, 2012.
 """,2012.,Financial Systemic Stability: Challenging Aspects of Central Banks,"2012-06, Monetary Policy Group, Bank of Thailand.","Since 2007 global financial crisis, many central banks have tended to focus on financial stability much more than ever. Lessons learned from recent crises witness that in a period of sustained economic growth with low and stable inflation, financial imbalances could adversely affect financial system and real economy, which eventually leads to financial crises. In addition, the cost of crises becomes increasingly expensive over time because crises themselves have been more systemic. Risk from one financial institution can easily transfer to others and then to the whole financial market. Thus, current crises highlight the importance of financial stability role of central banks in two main aspects, crisis prevention and crisis management. The paper indicates that in recent financial crises, many central banks have stepped beyond their traditional roles in order to ensure financial system stability. Some instruments and measures that central banks have implemented can be considered as unconventional ones. Looking forward, these practices then lead to new challenges for central banks in three main aspects: risk identification, risk mitigation, and policy issuance process. Eventually, this paper also provides policy implications to Bank of Thailand, based on international experiences and lessons learned from recent crises."
"Runchana Pongsaparn & Panda Ketruangroch & Dhanaporn Hirunwong, 2012.
 """,2012.,Monetary Policy conduct in Review: The Appropriate Choice of Instruments,"2012-05, Monetary Policy Group, Bank of Thailand.","TIn achieving price stability, a common mandate of monetary policy, central banks can choose different ways to conduct monetary policy. The difference in the conduct of monetary policy lies in the instrument they use not in the monetary policy regime per se. The paper finds that the higher the level of financial development, the higher degree of monopoly power (uniqueness) in exports and the stronger the institution, the more likely a country will use interest rate as the main monetary policy instrument. Furthermore, based on three criteria: (1) controllability of policy instrument and monetary conditions (2) the degree of counter-cyclicality and (3) the effectiveness of instrument in influencing inflation and output, interest rate appears to be an appropriate monetary policy instrument for Thailand. So far, performance of the current monetary policy framework in Thailand has been fine, with transparency through communication with the general public being one of the key factors contributing to the performance and policy effectiveness."
"Poomjai Nacaskul & Kritchaya Janjaroen & Suparit Suwanik, 2012.
 """,2012.,"Economic Rationales for Central Banking: Historical Evolution, Policy Space, Institutional Integrity, and Paradigm Challenges","2012-04, Monetary Policy Group, Bank of Thailand.","The late-2000s global financial crisis saw increased public profiles and balance sheets of both the US and European central banks, their combined series of financial rescue measures in effect pushing the envelope of central banking modus operandi. And in general, somewhat anecdotally amongst non-crisis Asia-Pacific/emerging economies, central banks are under increased pressure to pursue growth agenda, or at least being publicly called to task as to whether strict inflation regime is all that necessary. All the while, orthodox economics appear to be bursting at the seams, as the world witnesses extreme financial-capital market events increasingly becoming the ‘new normal’, globalised banking system portending knife-edged stability dynamics consistent with high degree of epidemic, network-like systemic interconnectivities, and global catastrophe phenomena reflecting energy/ecological/environmental imbalances more and more frequently materialising as economic disequilibria. Taken together, it is only becoming more difficult to reconcile historical evolution of central banks (the institutions) and central banking (the mandate) with ever mounting stabilisation policy demands and global ‘mega-trend’ challenges over the next decades. This essay details our positive and normative analysis and posits our conceptual arguments concerning the very essence of central banks (the institutions) and central banking (the discipline). We begin with Historical Evolution, from the genesis of early ‘proto’ central banks to the emergence of modern consensus on central banking. Stylised facts and conceptual schemas drawn from that exercise then enables us to formulate the notion of Policy Space as a generalization of central bank role and responsibility. We then employ economic rationales to argue for and advocate key elements and principles in terms of Institutional Integrity as an imperative foundation for the pursuit of policy goals. The emerging evolutionary perspective also compels us to postulate a number of Paradigm Challenges facing current and future generations of central bankers."
"Rungporn Roengpitya, 2012.
 """,2012.,"Proposal of New Hybrid PD Estimation Models for the Low Default Portfolios (LDPs), Empirical Comparisons and Policy Implications","2012-03, Monetary Policy Group, Bank of Thailand.","I proposed the new group of hybrid models to be used for the probability of default (PD) estimation on low default portfolios (LDPs). The construction of this hybrid model class was based upon the two existing estimation approaches–the most prudent estimation of Pluto and Tasche (2006) and Forrest (2005)’s maximum likelihood method. These new hybrid models possess the robust framework from the maximum likelihood concept but, unlike the original likelihood approach, the PD computation is much less intensive for rating models with many rating grades. Moreover, I found that the proposed hybrid models yield more conservative PDs than the existing LDP models, provided that the observed default rates satisfied specific conditions outlined in this paper. In addition to the theoretical construction of the models, this paper also gives the mathematical proofs of the necessary and sufficient conditions to ensure rank ordering of PD estimates from the hybrid models as well as the proofs of the conditions needed to guarantee the conservatism of the hybrid PDs when compared to other estimation method."
"Rungporn Roengpitya & Pratabjai Nilla-or, 2012.
 """,2012.,Challenges on the Validation of PD Models for Low Default Portfolios (LDPs) and Regulatory Policy Implications,"2012-02, Monetary Policy Group, Bank of Thailand.","This paper is the first of its kind to compare the probability of default (PD) estimates for low default portfolios (LDPs) from various methods–notably Pluto and Tasche (2006), Van Der Burgt (2007), Benjamin, Cathcart and Ryan (2006) and Roengpitya (2012)–using the historical data of sovereign borrowers from the years 1975-2009. The comparison results give insightful information to bank supervisors and banks regarding the PD model validation and possible underestimation of PD values. We found that the most conservative approaches tend to be that of Pluto and Tasche (2006) and Roengpitya (2012) while Van Der Burgt (2007) seemed to yield the least conservative estimates. Moreover, for prudent supervisory purposes, we suggested that the accuracy ratio (AR) in the Van Der Burgt (2007) CAP curve method should be restricted to be between 40% and 80% to prevent a possible underestimation of credit risk. Finally, we presented the necessary and sufficient conditions to ensure that the rank ordering of PD estimates from Pluto and Tasche (2006)’s most prudent approach is satisfied."
