Author/s,Year,Title,ID,Abstract
"Rodrigo Arnabal & Santiago Taroco & Cecilia Dassatti & Victoria Landaberry & Jorge Ponce, 2024.
 """,2024.,Endeudamiento de los jóvenes en Uruguay,"2024001, Banco Central del Uruguay.","El presente documento describe la situación actual del endeudamiento de las personas físicas menores de treinta años (jóvenes) en Uruguay. Se dimensiona su importancia y se describen las principales características de dichos deudores, haciendo foco en aquellos que presentan atrasos en el pago de sus deudas. Se encuentra que más de la mitad de los deudores menores de treinta años registrados en la Central de Riesgos Crediticios mantienen relaciones de crédito saludables (aproximadamente 166.000), representando un 56,2% del total de montos adeudados. Si además se considera a los jóvenes que presentan registros en Equifax, se encuentra que existen 212.346 jóvenes adicionales sin incumplimientos registrados por fuera de la CRC. La mayor parte de los deudores jóvenes con dificultades en su capacidad de pago poseen deudas de crédito al consumo con Empresas Administradoras de Crédito. Finalmente, se analiza las principales diferencias y similitudes que presenta el endeudamiento de los jóvenes con respecto al resto de la población."
"Elizabeth Bucacos & Javier García-Cicco & Miguel Mello, 2023.
 """,2023.,Foreign Exchange Interventions and Foreign Shocks. The case of Uruguay,"2023008, Banco Central del Uruguay.","We study the effects of exchange rate interventions in Uruguay on relevant macroeconomic variables such as the exchange rate, inflation, activity, and interest rates. Instead of attempting to identify exogenous variations in the intervention policy (a frequent strategy in the related literature, that raises many endogeneity concerns), we investigate the effect of interventions in dampening the impact of external shocks that are relevant determinants of exchange rate movements. This estimation is carried out through a novel econometric tool called constrained impulse response functions, which allows to construct counterfactual scenarios that are locally valid (i.e. marginal effects around average responses). Moreover, we exploit a detailed data on Central Bank’s operations in the exchange-rate market, leading to a clean measure of interventions that is not contaminated from other factors affecting the foreign reserves position (thus improving over most related studies). We find that interventions can help dampen exchange rate effects, and may have non-trivial effects on inflation as well, but generally the consequences in terms of activity are limited. Crucially, these effects depend on the type and sign of the external shock under consideration."
"Rodrigo Arnabal & Santiago Taroco & Cecilia Dassatti & Victoria Landaberry & Jorge Ponce, 2023.
 """,2023.,Endeudamiento de las personas físicas en Uruguay,"2023007, Banco Central del Uruguay.","El presente documento describe la situación actual del endeudamiento de las personas físicas en Uruguay. Se dimensiona su importancia a nivel local e internacional y se describen las principales características de los deudores, haciendo foco en aquellos que presentan atrasos en el pago de sus deudas. Dos terceras partes de los deudores del sistema financiero registrados en la Central de Riesgos Crediticios (CRC) mantienen relaciones de crédito saludables (aproximadamente 1.200.000 personas), representando el 70% del total de montos adeudados por las personas físicas. Si además consideramos a las personas que presentan información en base Equifax, encontramos aproximadamente unas 720.000 personas adicionales sin incumplimientos registrados por fuera de la CRC. En tanto, la mayor parte de los deudores con dificultades en su capacidad de pago poseen deudas de crédito al consumo con Empresas Administradoras de Crédito. Dentro de los deudores calificados como irrecuperables por al menos una institución financiera (apróximadamente 660.000 personas), un subgrupo (246.000 personas), que representa el 13% del total de deudores (17,4% del total de los montos adeudados), tiene también una mejor calificación con otra institución financiera, en particular con aquellas que tienen descuento de haberes. Apróximadamente 290.000 personas (15,2% del total de deudores y 5,9% del total de montos) posee la peor calificación crediticia en el sistema financiero y además mantiene otros incumplimientos por fuera de la CRC."
"Conrado Brum Civelli & Alejandro Fried Gindel & Alfredo Garcia-Hiernaux, 2023.
 """,2023.,IFCI-SA. An International Financial Conditions Index for South American Economies,"2023006, Banco Central del Uruguay.","The Russian invasion of Ukraine in early 2022, triggered a wave of risk aversion in the global financial markets. However, in contrast to previous events, South American emerging economies experienced limited impact to this more restrictive global financial environment. To assess the financial conditions of these economies over time, particularly Brazil, Chile and Uruguay, we propose an International Financial Conditions Index for South American economies (IFCI-SA), built from a Dynamic Factor Model. This index includes standard variables provided by the literature, along with sovereign debt risk premia and the most relevant commodity prices for these economies. We use our indicator to study the influential role played by commodity prices in the financial conditions of South American emerging economies from October 2007 to May 2022, paying particular attention to the financial implications stemming from the conflict in Ukraine."
"Cecilia Dassatti, 2023.
 """,2023.,COVID-19 and public credit guarantees: a policy assessment,"2023005, Banco Central del Uruguay.","The global business shutdown derived from the COVID shock posed the challenge for policymakers of designing a quick an effective response to cushion the negative impact of the pandemic on the activity of small firms. Using granular data on loans and guarantees, I study the impact of a Public Credit Guarantee Scheme implemented in Uruguay. The results of the estimations suggest that the policy effectively reached the targeted industries, offering evidence in favor of the private financial sector operating as a conduit of government-backed liquidity for microsmall- and medium-sized firms. I also find empirical evidence suggesting a mild opportunistic behavior through substitution of illiquid guarantees and about the role of state-owned banks in credit provision during the pandemic."
"Miguel Mello & Jorge Ponce & Juan Pablo Medina, 2023.
 """,2023.,The term structure of firms' inflation expectations,"2023004, Banco Central del Uruguay.","The share of firms that differentiate their inflation expectations between one-year and two-year horizons is a relevant statistic for changes in inflation expectations. Furthermore, firms that obtain information from the central bank are more likely to distinguish between horizons and forecast convergence of inflation expectations toward the inflation target. Decision-makers tend not to differentiate between horizons, but when they do, they are more likely to predict convergence. External advisors tend to differentiate between horizons and are more likely to predict divergence. The results highlight the importance of analyzing inflation expectations formation by firms for understanding inflation dynamics and conducting effective monetary policy."
"Cecilia Dassatti, 2023.
 """,2023.,Modelos de Puntaje Crediticio: revisión metodológica y análisis a partir de datos de encuesta,"2023003, Banco Central del Uruguay.","Las instituciones financieras enfocadas en la concesión de préstamos al consumo se enfrentan a dos tipos de decisiones: por un lado, deben decidir si conceder un préstamo a un cliente nuevo y, por otro, deben decidir cómo gestionar los préstamos que ya concedieron. Los modelos de puntaje crediticio son técnicas muy utilizadas por las instituciones financieras a la hora de tomar este tipo de decisiones. El objetivo del presente trabajo es analizar los modelos de puntaje crediticio y las herramientas de validación de los mismos. Adicionalmente, se evalúa el grado de implementación de puntaje crediticios en Uruguay a partir de datos de una encuesta realizada en 2014."
"Rodrigo Marrero & Miguel Mello, 2023.
 """,2023.,Análisis descriptivo de la Encuesta de Expectativas de Inflación de las Firmas,"2023002, Banco Central del Uruguay.","The study focuses on who typically responds to the Business Expectations Survey (BES), what sources of information are used to form inflation expectations, and how useful the information derived from the BES is for firms. It also investigates what firms attribute to the expectations exceeding the monetary policy objective. The results indicate that there are differences in the level of inflation expectations depending on who responds to the survey, but not in the accuracy of the forecasts. Firms whose representatives respond to the survey are informed from a greater number of information sources, especially through official sources. Additionally, there is a significant group of firms that do not use the survey information."
"Cecilia Dassatti, 2023.
 """,2023.,Assessing the impact of a policy on reserve requirements: loan-level evidence,"2023001, Banco Central del Uruguay.","During the first half of 2008, the Central Bank of Uruguay introduced changes in the regulation of reserve and liquidity requirements, increasing the requirements for short-term funding and funding from non-residents as well as introducing a requirement for interbank funding. The combination of these reforms with data that follows all loans granted to non-financial firms in Uruguay, allows me to identify their impact on the supply of credit. Following a difference-in-difference approach, I compare lending before and after the introduction of the policy changes among banks with different degrees of exposition to the funds targeted by the policies. The results suggest that restrictions to short-term finance from banks imply a reduction of credit availability as predicted by the literature."
"Andrea Barón & José Mourelle & Gabriela Romaniello & Esteban Tisnés, 2022.
 """,2022.,Modelo macroeconométrico de estimación trimestral para la economía uruguaya. Desarrollos recientes,"2022006, Banco Central del Uruguay.","Este trabajo documenta los desarrollos que se realizaron en el Modelo Macroeconométrico de Estimación Trimestral para la economía uruguaya (MMET) en los últimos años. Entre ellos se debe resaltar la incorporación de cambios en las ecuaciones del modelo, nuevas ecuaciones, re-estimaciones con más información y la incorporación de variables que buscan una aproximación más ajustada a la teoría representada. Con estos desarrollos, el modelo se mantiene vigente por lo que resulta un instrumento útil para efectuar análisis, proyecciones y simulaciones de variables macroeconómicas en un marco coherente y que permite interpretar y trasmitir los resultados de manera relativamente sencilla."
"María Victoria Landaberry & Kenji Nakasone & Johann Pérez & María del Pilar Posada, 2022.
 """,2022.,A predictive model of sovereign investment grade using machine learning and natural language processing,"2022005, Banco Central del Uruguay.","Las agencias calificadoras de riesgo como Moody's, Standard and Poor's y Fitch califican los activos soberanos basados en un análisis matemático de factores económicos, sociales y políticos conjuntamente con un análisis cualitativo de juicio de experto. De acuerdo a la calificación obtenida, los países pueden ser clasificados como aquellos que tienen grado inversor o cuentan con grado especulativo. Tener grado inversor es importante en la medida que reduce en costo de financiamiento y expande el conjunto de potenciales inversores en una economía. En este documento nos proponemos predecir si la deuda soberana de un país será calificada con grado inversor utilizando un conjunto de variables macroeconómicas y variables obtenidas a partir del análisis de texto de los reportes de Fitch entre 2000 y 2018 utilizando técnicas de procesamiento natural de lenguaje. Utilizamos una regresión logística y un conjunto de algoritmos de machine learning alternativos. De acuerdo a nuestros resultados, el índice de incertidumbre, construido a partir de los reportes de Fitch, es estadísticamente significativo para predecir el grado inversor. Al comparar los distintos algoritmos de machine learning, random forest es el que tiene mejor poder predictivo fuera de la muestra cuando la variable dependiente refiere al mismo año que las variables explicativas mientras que knearest neighbors tiene el mejor desempeño predictivo cuando las variables independientes refieren al año anterior en términos del f1-score y recall."
"Santiago Etchegaray Alvarez, 2022.
 """,2022.,"Proyecciones macroeconómicas con datos en frecuencias mixtas. Modelos ADL-MIDAS, U-MIDAS y TF-MIDAS con aplicaciones para Uruguay","2022004, Banco Central del Uruguay.","This paper estimates, evaluates and compares the nowcasting and forecast¬ing performance of ADL-MIDAS, U-MIDAS and TF-MIDAS models. To do so, 25 monthly series are considered as possible indicators of GDP growth and the forecast accuracy is assessed in two overlapping periods: one period that includes the COVID-19 pandemic and another that excludes it. When the period affected by the pandemic is considered TFMIDAS results the most precise model, while if this period is excluded from the evaluation there is no difference in the predictive ability between the three models considered. Then different forms of nonparametric forecasts combinations are evaluated, obtaining similar results with most of them and, in general, outperforming when the best model is the only one considered."
"Martin Caruso Bloeck & Miguel Mello & Jorge Ponce, 2022.
 """,2022.,News of disinflation and firms' expectations: new causal evidence,"2022003, Banco Central del Uruguay.","We causally identify how firms’ inflation and growth expectations respond to information about a comprehensive reform in the monetary policy framework by means of a randomized control trial. The reform is intended to lower inflation significantly in the coming years, making this experiment unique relative to previous ones that are carried out in stable and consolidated monetary policy frameworks. Firms treated with information about the reform lower their inflation and cost expectations by about 0.5 percentage points, with the effect being persistent sixth months after the treatment. Treated firms also expect temporarily lower GDP growth."
"Elizabeth Bucacos & Patricia Carballo & Miguel Mello & Jorge Ponce, 2022.
 """,2022.,COVID-19 in Uruguay: A survey of policy responses and their impact,"2022002, Banco Central del Uruguay.","COVID-19 implied an overwhelming shock with large economic consequences. In this paper, we provide an evaluation of the impact of the social, economic, and financial policy measures undertaken to ameliorate its negative consequences in Uruguay. We start by surveying the immediate impact of the shock and the main policy responses. Next, we take a threefold approach to evaluate their impact on GDP, inflation, inflation expectations, investment, consumption, hours worked and firms’ financing. The results show that the policy response had a significant effect on mitigating the negative impact of the pandemic."
"Patricia Carballo, 2022.
 """,2022.,Política monetaria y formación de expectativas en un modelo neokeynesiano,"2022001, Banco Central del Uruguay.","This paper studies the relationship between expectation formation and monetary policy in a New Keynesian general equilibrium framework. To do this, a model that incorporates an equation for the formation of private sector inflation expectations, is developed. Based on the results obtained in the gap estimation and shock simulation exercises, the model constitutes an ideal tool for the analysis of monetary policy in Uruguay. The impulse response exercises illustrate the importance of formation of expectations and credibility for the design of monetary policy. Likewise, the results obtained in the decomposition of the variance of the forecast errors show the importance of shocks on the inflation target and private sector expectations to explain the behavior of inflation and the formation of expectations."
"Fernando Borraz & Felipe Carozzi & Nicolás González-Pampillón & Leandro Zipitría, 2021.
 """,2021.,"Local Retail Prices, Product Varieties and Neighborhood Change","2021013, Banco Central del Uruguay.","We study how retail prices within a city are affected by changes in local housing markets. Our empirical strategy is based on an exogenous shift in the spatial distribution of the construction activity induced by a large-scale, place-based tax exemption in the city of Montevideo. We provide differences-in-differences and instrumental variable estimates showing that the price of retail goods decreases in areas within the city that experience more residential development. We use a multi-product model of imperfect competition to relate this change to an expansion in either product varieties or firm entry. We report evidence in support of the varieties channel, with new development causing an increase in the number of varieties available locally. Our results have implications for urban planning policy and the broader discussion about winners and losers from neighborhood change."
"Marcelo Álvez & Elizabeth Bucacos & Maximiliano Mateauda & Ernesto Pienika, 2021.
 """,2021.,Retropolación para series de Cuentas Nacionales Trimestrales. Series de Producto Interno Bruto de Uruguay con frecuencia trimestral para el período 1997-2011,"2021012, Banco Central del Uruguay.","The latest statistical and methodological structure for Uruguay's National Accounts is defined with 2012 as the reference year. This change allowed to update the Quarterly National Accounts (QNA) series for the period 2016-2020, taking 2016 as the base year. This paper presents the backcasting for the Uruguayan GDP with annual and quarterly frequency from 1997 to 2011, wich is consistent with the new QNA Basis 2016 and the backcasted time series for the Uruguayan GDP from 2012 to 2015. We use Supply and Use Tables (COU, in Spanish) Basis 2005 for the years 1997 and 2005, and Basis 2016 for the year 2012. Unlike the new series that cover from 2016 onwards, the backcasted time series for the period 1997-2011 cannot be consider a compilation of National Accounts because of its heavy reliance on statistical techniques."
"Fernando Borraz & Ana Caro & Maira Caño-Guiral & María José Roa, 2021.
 """,2021.,Financial education for youth. A randomized evaluation in Uruguay,"2021011, Banco Central del Uruguay.","Using data from a randomized control trial in Uruguay, we evaluate the impact of an economic and financial education program targeted to senior high-school students. The program is based on an innovative playful approach workshop about monetary policy and financial supervision. We find that the workshop has a positive and significant impact on student knowledge. Our results shed light on the importance of economic and financial education for the youth in developing countries."
"Elizabeth Bucacos & Cecilia Dassatti & Gerardo Licandro, 2021.
 """,2021.,"Transparencia de la política monetaria en Uruguay, ¿cómo nos ven?","2021010, Banco Central del Uruguay.","En las últimas décadas se ha observado un creciente interés en lo que refiere a la transparencia y la rendición de cuentas de los bancos centrales, al ser éstos dos elementos que contribuyen a mantener la independencia y la eficacia de la política monetaria. El presente trabajo, en cambio, busca evaluar el nivel de transparencia del Banco Central del Uruguay desde la visión que los profesionales externos a la Institución tienen al respecto. Una de las riquezas de este enfoque es que permite evaluar si la visión del BCU con respecto a lo que sería una política monetaria transparente está siendo efectivamente percibida como tal o si es necesario ajustar la comunicación de la misma."
"María Victoria Landaberry & Rodrigo Lluberas & Micaela Vidal, 2021.
 """,2021.,Una aplicación de la metodología Growth at Risk a Uruguay,"2021009, Banco Central del Uruguay.","Este trabajo presenta la aplicación de la metodología Growth at Risk (GaR) para la economía uruguaya con datos trimestrales entre junio de 1999 y diciembre de 2019. De acuerdo a los resultados obtenidos, el Índice de Inestabilidad Financiera contiene información relevante sobre los riesgos a la baja y al alza en el crecimiento económico. El modelo presenta un buen desempeño en la proyección del crecimiento económico en el horizonte de un año, una vez que se incorpora la información correspondiente al primer trimestre, a la vez que permite analizar los efectos sobre la distribución de probabilidad del crecimiento de distintos escenarios de riesgo, por lo que sería una herramienta útil para adicionar al monitoreo de la estabilidad financiera en Uruguay."
"Fernanda Cuitiño & Juan Pablo Medina & Laura Zacheo, 2021.
 """,2021.,Exchange Rate Pass-Through Conditional on Shocks and Monetary Policy Credibility. The Case of Uruguay,"2021008, Banco Central del Uruguay.","The estimation of exchange rate pass-through (ERPT) is critical for understanding and forecasting the inflation dynamics in open economies. In this work, we estimate a medium scale New-Keynesian model for the Uruguayan economy to analyze the ERPT. We compute the ERPT with the estimated model conditional on specific external shocks and on whether the monetary policy has perfect or imperfect credibility. The results show that the empirical fit is better under imperfect credibility. The estimated degree of imperfect credibility is quite significant and it shows substantial variation across shocks and over time. We find that the ERPT tends to be lower for a shock that has a higher offsetting effect in aggregate demand and when monetary policy is more credible in keeping the inflation target constant. Finally, adding the exchange rate stabilization in the monetary policy rule in the case of Uruguay has a stronger empirical role once we allow for imperfect credibility."
"Serafín Frache & Rodrigo Lluberas & Javier Turen, 2021.
 """,2021.,Belief-Dependent Pricing Decisions,"2021007, Banco Central del Uruguay.","This paper studies the effects of inflation and idiosyncratic cost expectations on firms’ price-adjusting decisions. Evidence of price-settings frictions using micro data has been studied through the lens of both time-dependent and state-dependent models. Using data from a unique survey, we argue that priceadjustment decisions are also belief-dependent. While controlling for time- and state- ependent factors, we find that, for the extensive margin of price-changes, expectations of inflation do not play any role, but firms’ beliefs about their overall costs do. The expectation channel is, however, heterogeneous across firms, driven exclusively by large companies, and operates with a delay. Nonetheless, when looking at firms’ beliefs about the intensive margin of price-changes, besides costs, the relevance of current inflation expectations is recovered. Our evidence supports the presence of price rigidities at the firm level but is also consistent with theories of limited attention."
"Serafín Frache & Helena Rodríguez, 2021.
 """,2021.,Un modelo estocástico de equilibrio general para la economía uruguaya con producción de commodities,"2021006, Banco Central del Uruguay.","In this paper we analyze the main results obtained in the estimation of a DSGE model with commodity production, which was constructed as an extension of the baseline model used in the Central Bank of Uruguay. We model the production for three relevant sectors in the Uruguayan economy such as pulp, agricultural and dairy and meat production. In the baseline model these sectors are introduced as endowments that evolve exogenously over time and thus are not able to capture in a satisfactory way the real effects of some shocks. With this extension we try to adjust the baseline model in order to obtain better impulse-response functions that improve the description of the transmission mechanisms of the sectoral shocks to the rest of the economy."
"Diego Labat & Gerardo Licandro, 2021.
 """,2021.,Towards a quality currency,"2021005, Banco Central del Uruguay.",No abstract is available for this item.
"Diego Labat & Gerardo Licandro, 2021.
 """,2021.,Hacia una moneda de calidad,"2021004, Banco Central del Uruguay.",No abstract is available for this item.
