Author/s,Year,Title,ID,Abstract
"Dominic A. Smith & Sergio Ocampo, 2025.
""",2025.,The Evolution of US Retail Concentration,American Economic Journal: Macroeconomics,"Increasing national concentration has contributed to market power concerns. Yet local trends are more informative about market power in retail, where consumers have traditionally shopped at nearby stores. Using novel product-level census data for all US retailers, we find that local and national concentration increased in parallel and affect most markets, products, and industries. The expansion of multimarket firms into new markets explains most of the increase in national concentration, with consolidation via increases in local market shares increasing in importance between 1997 and 2007. Increases in local concentration can explain one-quarter to one-third of the observed rise in retail gross margins."
"Jonna Olsson, 2025.
""",2025.,"Singles, Couples, and Their Labor Supply: Long-Run Trends and Short-Run Fluctuations",American Economic Journal: Macroeconomics,"Women's increased involvement in the economy has been an important change in labor markets during the past century. I show that a macroeconomic model taking into account gender and household composition in an otherwise parsimonious off-the-shelf setting captures key historical labor supply facts regarding trend and volatility across subgroups. Evaluating the economy's response to aggregate shocks at different points in time shows that the underlying trend growth in married women's employment contributed to the perceived quick employment recoveries after recessions before 1990, and the absence of growth thereafter consequently helps explain the more recent slower recoveries."
"Francesco Furlanetto & Antoine Lepetit & Ørjan Robstad & Juan Rubio-Ramírez & Pål Ulvedal, 2025.
""",2025.,Estimating Hysteresis Effects,American Economic Journal: Macroeconomics,"In this paper we identify demand shocks that can have a permanent effect on output through hysteresis effects. We call these shocks permanent demand shocks. They are found to be quantitatively important in the United States, in particular in samples starting in the 1980s. Recessions driven by permanent demand shocks lead to a permanent decline in employment and investment, while output per worker is largely unaffected. We find strong evidence that hysteresis transmits through a rise in long-term unemployment and a decline in labor force participation and disproportionately affects the least productive workers."
"Tullio Jappelli & Luigi Pistaferri, 2025.
""",2025.,"Permanent Income Shocks, Target Wealth, and the Wealth Gap",American Economic Journal: Macroeconomics,"We test the key implication of the buffer-stock model, namely that any revision in permanent income leads to a proportionate revision in target wealth. We use panel data on the amount of wealth that people think they must hold for precautionary purposes. Using the covariance restrictions that the model imposes on the joint behavior of income and target wealth, we find that households indeed revise, approximately one for one, their target wealth in response to permanent income shocks. The speed of adjustment of actual wealth to target wealth is similar to that obtained in simulations of a buffer-stock model."
"Chun-Che Chi & Stephanie Schmitt-Grohé & Martín Uribe, 2025.
""",2025.,Optimal Bank Reserve Remuneration and Capital Control Policy,American Economic Journal: Macroeconomics,"A central prediction of open economy models with a pecuniary externality due to a collateral constraint is that the unregulated economy overborrows relative to what occurs under optimal policy. A maintained assumption in this literature is that households borrow directly from foreign lenders. This paper shows that if foreign lending is intermediated by domestic banks and the government can pay interest on bank reserves and impose capital controls, the unregulated economy underborrows. The optimal bank reserve policy is countercyclical. By increasing bank reserves during contractions, the government acts as a lender of last resort to collateral-constrained households."
"Makoto Nakajima & Irina A. Telyukova, 2025.
""",2025.,Medical Expenses and Saving in Retirement: The Case of the United States and Sweden,American Economic Journal: Macroeconomics,"Many US households have significant wealth late in life, contrary to the predictions of a simple life-cycle model. By comparison, retirees in Sweden decumulate wealth more quickly while facing smaller out-of-pocket medical expense risks late in life. In this paper, we investigate how well the latter can account for the former using a full life-cycle consumption-saving model. We find that medical expense level and risk account for 32–59 percent of the US-Sweden difference in retirees' speed of wealth decumulation depending on age. We also show that financing and coverage of health insurance affect wealth decumulation patterns in retirement."
"Benjamin Lerch, 2025.
""",2025.,From Blue- to Steel-Collar Jobs: The Decline in Employment Gaps?,American Economic Journal: Macroeconomics,"I investigate how the introduction of industrial robots is shaping the demographic composition of the US labor force between 1993 and 2014. I find that robots decreased employment of men and women by 3.7 and 1.6 percentage points, contributing to the secular decline in the gender employment gap, and that they decreased employment among Whites and non-Whites by 1.8 and 4.5 percentage points, widening the race/ethnicity employment gap. These effects follow from the persistent occupational segregation in the labor market. Although robots are primarily used in manufacturing, their adverse effects spill over to local service industries, in particular for Blacks and Hispanics."
"Maxime Phillot, 2025.
""",2025.,US Treasury Auctions: A High-Frequency Identification of Supply Shocks,American Economic Journal: Macroeconomics,"We identify Treasury supply shocks using auction data, interpreting changes in futures prices around announcements as shocks to expected supply. We isolate the component of futures price variations pertaining to US Treasury announcements between 1998 and 2020. We study how supply affects financial markets through local projections, using shocks as instruments. We show that increases in Treasury supply cause an upward shift of the yield curve fueled partly by a higher term premium. Stock prices decline, volatility climbs, and corporate bond yields increase. The risk premium rises, the equity premium falls, inflation expectations soar, and the liquidity premium decreases."
"Gerhard Toews & Pierre-Louis Vézina, 2025.
""",2025.,Enemies of the People,American Economic Journal: Macroeconomics,"The Soviet regime forcedly sent millions of enemies of the people, i.e. the educated elite considered a threat to the regime, to Gulag camps across the USSR. We use this large-scale episode of terror as a natural experiment to provide evidence on the long-run persistence of human capital across generations and its effect on economic growth. We combine archive data from the Gulag with the 2018 Russian firm census to show that areas around camps with a larger share of enemies among camp prisoners are more prosperous today, as captured by firms' wages and profits, and night lights per capita."
"Tasso Adamopoulos, 2025.
""",2025.,Spatial Integration and Agricultural Productivity: Quantifying the Impact of New Roads,American Economic Journal: Macroeconomics,"I study the effects of Ethiopia's 1997–2014 road expansion program on agricultural productivity and structural change by combining a quantitative spatial sectoral framework with novel district-level panel data on agricultural production and geocoded transport costs. In the model, the spatial heterogeneity of transport costs affects the distribution of production and mobile inputs across locations and sectors, and the allocation of land across crops within locations. Varying transport costs to their new actual levels, the model delivers substantial structural change, a rise in agricultural productivity one-tenth of the data, and a pattern of productivity gains across districts consistent with the data."
