Author/s,Year,Title,ID,Abstract
"Matteo Benetton & Alessandro Gavazza & Paolo Surico, 2025.
""",2025.,Mortgage Pricing and Monetary Policy,American Economic Review,"This paper examines how central bank policies influence mortgage pricing in the United Kingdom. It shows that lenders price discriminate by offering two-part tariffs of interest rates and origination fees, and during unconventional monetary policies like the Funding for Lending Scheme, lenders reduced interest rates while increasing fees. Using a model of mortgage demand and lender competition, we find that central bank policies increased mortgage lending. Additionally, banning origination fees would reduce lending, as fees help lenders capture surplus while allowing them to price discriminate across borrowers with different sensitivities to rates and fees."
"Mark Shepard & Myles Wagner, 2025.
""",2025.,Do Ordeals Work for Selection Markets? Evidence from Health Insurance Auto-Enrollment,American Economic Review,"Are application hassles, or ""ordeals,"" an effective way to limit public program enrollment? We provide new evidence by studying (removal of) an auto-enrollment policy for health insurance, adding an extra step to enroll. This minor ordeal has a major impact, reducing enrollment by 33 percent and differentially excluding young, healthy, and economically disadvantaged people. Using a simple model, we show adverse selection--a classic feature of insurance markets--undermines ordeals' standard rationale of excluding low-value individuals since they are also low-cost and may not be inefficient. Our analysis illustrates why ordeals targeting is unlikely to work well in selection markets."
"Antje Berndt & Darrell Duffie & Yichao Zhu, 2025.
""",2025.,The Decline of Too Big to Fail,American Economic Review,"For globally systemically important banks (GSIBs) with US headquarters, we find significant reductions in market-implied probabilities of government bailout after the Global Financial Crisis (GFC), along with roughly 170 percent higher wholesale debt financing costs for these banks after controlling for insolvency risk. Since the GFC, bank creditors appear to expect much larger losses in the event that a GSIB approaches insolvency. In this sense, we estimate a decline of ""too big to fail."""
"Michelle Acampora & Lorenzo Casaburi & Jack Willis, 2025.
""",2025.,Land Rental Markets: Experimental Evidence from Kenya,American Economic Review,"Do land market frictions cause misallocation in agriculture? In a field experiment in western Kenya, we randomly subsidize owners to rent out land. Induced rentals mostly persist after the subsidy ends and increase output and value added, consistent with misallocation. Gains from trade arise from renters choosing higher-value crops, having higher productivity, and adopting more nonlabor inputs, while renters use similar quantities of labor as owners. Induced rentals are not those with the largest predicted gains, underlining the importance of the joint distribution of gains and frictions, with frictions arising from search, risk, and learning."
"Valentin Haddad & Paul Huebner & Erik Loualiche, 2025.
""",2025.,"How Competitive Is the Stock Market? Theory, Evidence from Portfolios, and Implications for the Rise of Passive Investing",American Economic Review,"The conventional wisdom in finance is that competition is fierce among investors: if a group changes its behavior, others adjust their strategies such that nothing happens to prices. We estimate a demand system with flexible strategic responses for institutional investors in the US stock market. When less aggressive traders surround an investor, she adjusts by trading more aggressively. However, this strategic reaction only counteracts two-thirds of the impact of the initial change in behavior. In light of these estimates, the rise in passive investing over the last 20 years has made the demand for individual stocks 11 percent more inelastic."
"Christopher Clayton & Amanda Dos Santos & Matteo Maggiori & Jesse Schreger, 2025.
""",2025.,Internationalizing Like China,American Economic Review,We empirically characterize how China is internationalizing its bond market by staggering the entry of different types of foreign investors into its domestic market and propose a dynamic reputation model to explain this strategy. Our framework rationalizes China's strategy as trying to build credibility as a safe issuer while reducing the cost of capital flight. We use our framework to shed light on China's response to episodes of capital outflows.
"Ulrich Doraszelski & Katja Seim & Michael Sinkinson & Peichun Wang, 2025.
""",2025.,Ownership Concentration and Strategic Supply Reduction,American Economic Review,"We explore the implications of ownership concentration for the recently concluded incentive auction that repurposed spectrum from broadcast TV to mobile broadband usage in the United States. We document significant multilicense ownership of TV stations. We show that in the reverse auction, in which TV stations bid to relinquish their licenses, multilicense owners have an inventive to withhold some TV stations to drive up prices for their remaining TV stations. Using a large-scale valuation and simulation exercise, we find that this strategic supply reduction increases payouts to TV stations by between 13.5 percent and 42.4 percent."
"Christopher Clayton & Andreas Schaab, 2025.
""",2025.,A Theory of Dynamic Inflation Targets,American Economic Review,Should central banks' inflation targets remain set in stone? We study a dynamic mechanism design problem between a government and a central bank. The central bank has persistent private information about structural shocks. Firms learn the state from the central bank's reports and form inflation expectations. A dynamic inflation target implements the full-information commitment allocation. The central bank is delegated the authority to adjust the target's level and flexibility one period in advance. A declining natural interest rate and a flattening Phillips curve imply opposite optimal target adjustments. Our results speak to practical policy questions of inflation target design.
"Qiaoyi Chen & Zhao Chen & Zhikuo Liu & Juan Carlos Suárez Serrato & Daniel Yi Xu, 2025.
""",2025.,Regulating Conglomerates: Evidence from an Energy Conservation Program in China,American Economic Review,"We study a prominent energy regulation affecting large Chinese manufacturers that are part of broader conglomerates. Using detailed firm-level data and difference-in-differences research designs, we show that regulated firms cut output and shifted some production to unregulated firms within their conglomerate instead of improving their energy efficiency. To account for conglomerate and market spillovers, we interpret these results through the lens of an industry equilibrium model featuring conglomerate production. The policy raises welfare if the per ton benefits of carbon reduction exceed $161. Alternative policies that exploit public information on business networks can increase aggregate energy savings by 10 percent."
"Jonah M. Rexer, 2025.
""",2025.,Corruption as a Local Advantage: Evidence from the Indigenization of Nigerian Oil,American Economic Review,"Multinationals in the extractive sectors of weak states face resource theft by armed groups. Criminality is often abetted by state corruption, even though firms are willing to pay for protection. I study indigenization in Nigeria's oil sector, which increased local firms' participation substantially. Despite lower quality, local firms increase output by reducing oil theft. A bargaining model illustrates that political connections align law enforcement incentives, solving commitment problems. Data on law enforcement raids show that local firms receive preferential protection. Connections to military elites drive the local advantage. The aggregate gains from indigenization are at most between 2.3 and 5.7 percent of GDP."
